Comparacoes = 49966797; Trocas = 25258956 Tempo = 0.330871
Comparacoes = 49994370; Trocas = 22865543 Tempo = 0.327353
Comparacoes = 49983065; Trocas = 23101039 Tempo = 0.322379
Comparacoes = 49983065; Trocas = 23101039 Tempo = 0.315322
Comparacoes = 49983065; Trocas = 23101039 Tempo = 0.315199
Comparacoes = 49970690; Trocas = 23339682 Tempo = 0.314948
Comparacoes = 49970690; Trocas = 23339682 Tempo = 0.315080
Comparacoes = 49970690; Trocas = 23339682 Tempo = 0.314128
Comparacoes = 49965839; Trocas = 22913714 Tempo = 0.314203
Comparacoes = 49965839; Trocas = 22913714 Tempo = 0.312834
Comparacoes = 49965839; Trocas = 22913714 Tempo = 0.312882
Comparacoes = 49965839; Trocas = 22913714 Tempo = 0.313967
Comparacoes = 49951929; Trocas = 22935274 Tempo = 0.312900
Comparacoes = 49951929; Trocas = 22935274 Tempo = 0.313637
Comparacoes = 49951929; Trocas = 22935274 Tempo = 0.322306
Comparacoes = 49983219; Trocas = 23123845 Tempo = 0.357177
Comparacoes = 49983219; Trocas = 23123845 Tempo = 0.316020
Comparacoes = 49983219; Trocas = 23123845 Tempo = 0.315076
Comparacoes = 49931810; Trocas = 23032351 Tempo = 0.313567
Comparacoes = 49931810; Trocas = 23032351 Tempo = 0.313535
Comparacoes = 49931810; Trocas = 23032351 Tempo = 0.313957
Comparacoes = 49994097; Trocas = 23059223 Tempo = 0.314610
Comparacoes = 49994097; Trocas = 23059223 Tempo = 0.315141
Comparacoes = 49994097; Trocas = 23059223 Tempo = 0.314413
Comparacoes = 49986999; Trocas = 23004690 Tempo = 0.314863
Comparacoes = 49986999; Trocas = 23004690 Tempo = 0.314705
Comparacoes = 49986999; Trocas = 23004690 Tempo = 0.314840
Comparacoes = 49994370; Trocas = 22923785 Tempo = 0.314604
Comparacoes = 49994370; Trocas = 22923785 Tempo = 0.315491
Comparacoes = 49994370; Trocas = 22923785 Tempo = 0.315782
Comparacoes = 49994370; Trocas = 22923785 Tempo = 0.314864
Comparacoes = 49988214; Trocas = 22694522 Tempo = 0.313988
Comparacoes = 49988214; Trocas = 22694522 Tempo = 0.313530
Comparacoes = 49988214; Trocas = 22694522 Tempo = 0.313936
Comparacoes = 49994334; Trocas = 23037285 Tempo = 0.313377
Comparacoes = 49994334; Trocas = 23037285 Tempo = 0.314418
Comparacoes = 49994334; Trocas = 23037285 Tempo = 0.313130
Comparacoes = 49985820; Trocas = 23036086 Tempo = 0.315376
Comparacoes = 49985820; Trocas = 23036086 Tempo = 0.315317
Comparacoes = 49985820; Trocas = 23036086 Tempo = 0.314021
Comparacoes = 49984560; Trocas = 23409239 Tempo = 0.315280
Comparacoes = 49984560; Trocas = 23409239 Tempo = 0.316441
Comparacoes = 49984560; Trocas = 23409239 Tempo = 0.315547
Comparacoes = 49992515; Trocas = 22881051 Tempo = 0.313245
Comparacoes = 49992515; Trocas = 22881051 Tempo = 0.312796
Comparacoes = 49992515; Trocas = 22881051 Tempo = 0.311119
Comparacoes = 49933575; Trocas = 23299575 Tempo = 0.315066
Comparacoes = 49933575; Trocas = 23299575 Tempo = 0.314123
Comparacoes = 49933575; Trocas = 23299575 Tempo = 0.316224
Comparacoes = 49933575; Trocas = 23299575 Tempo = 0.315913
Comparacoes = 49983675; Trocas = 23226848 Tempo = 0.315943
