Comparacoes =   44; Trocas =   30; Tempo = 0.000002
Comparacoes =   35; Trocas =   13; Tempo = 0.000002
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000003
Comparacoes =   35; Trocas =   13; Tempo = 0.000003
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000002
Comparacoes =   35; Trocas =   13; Tempo = 0.000002
Comparacoes =   35; Trocas =   13; Tempo = 0.000003
Comparacoes =   35; Trocas =   13; Tempo = 0.000002
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
Comparacoes =   35; Trocas =   13; Tempo = 0.000001
