Comparacoes = 704653438; Trocas = -1787013853; Tempo = 51.089364
Comparacoes = 704981714; Trocas = 2041787273; Tempo = 47.122230
Comparacoes = 704902904; Trocas = 2054415398; Tempo = 49.343292
Comparacoes = 704966414; Trocas = 2053502547; Tempo = 53.840380
Comparacoes = 704816528; Trocas = 2036187723; Tempo = 51.207761
Comparacoes = 704872489; Trocas = 2055487806; Tempo = 49.589131
Comparacoes = 704968508; Trocas = 2042925176; Tempo = 50.361482
Comparacoes = 704954738; Trocas = 2049669222; Tempo = 51.999238
Comparacoes = 704885243; Trocas = 2050365418; Tempo = 51.448729
Comparacoes = 704949293; Trocas = 2043213639; Tempo = 51.279756
Comparacoes = 704956369; Trocas = 2054955422; Tempo = 53.735760
Comparacoes = 704927093; Trocas = 2051059885; Tempo = 53.795109
Comparacoes = 704883023; Trocas = 2038567029; Tempo = 50.233577
Comparacoes = 704911828; Trocas = 2032142650; Tempo = 51.324622
Comparacoes = 704980493; Trocas = 2044314599; Tempo = 48.791513
Comparacoes = 704912579; Trocas = 2054186541; Tempo = 52.242694
Comparacoes = 704934499; Trocas = 2043358570; Tempo = 51.889283
Comparacoes = 704921279; Trocas = 2056917570; Tempo = 52.649412
Comparacoes = 704957053; Trocas = 2051580566; Tempo = 49.393114
Comparacoes = 704954263; Trocas = 2043118364; Tempo = 42.115020
Comparacoes = 704939044; Trocas = 2045528786; Tempo = 41.261011
Comparacoes = 704962403; Trocas = 2046031586; Tempo = 37.982741
Comparacoes = 704939339; Trocas = 2053251292; Tempo = 37.782499
Comparacoes = 704963594; Trocas = 2034153346; Tempo = 37.759173
Comparacoes = 704966773; Trocas = 2064693513; Tempo = 38.072829
Comparacoes = 704822243; Trocas = 2043885566; Tempo = 37.805212
Comparacoes = 704929076; Trocas = 2058802752; Tempo = 37.839794
Comparacoes = 704979049; Trocas = 2053855222; Tempo = 38.195243
Comparacoes = 704954738; Trocas = 2047570775; Tempo = 37.692506
Comparacoes = 704962604; Trocas = 2043422081; Tempo = 37.726591
Comparacoes = 704858453; Trocas = 2040060507; Tempo = 38.027743
Comparacoes = 704923364; Trocas = 2048302720; Tempo = 37.969960
Comparacoes = 704815373; Trocas = 2046785859; Tempo = 37.694314
Comparacoes = 704976263; Trocas = 2050810796; Tempo = 37.822785
Comparacoes = 704780138; Trocas = 2046187584; Tempo = 37.750681
Comparacoes = 704954024; Trocas = 2054763092; Tempo = 37.805817
Comparacoes = 704923708; Trocas = 2047495774; Tempo = 37.877961
Comparacoes = 704915909; Trocas = 2042171321; Tempo = 37.819225
Comparacoes = 704961589; Trocas = 2052936142; Tempo = 37.726994
Comparacoes = 704925751; Trocas = 2053279557; Tempo = 37.769081
Comparacoes = 704920576; Trocas = 2053879236; Tempo = 37.886950
Comparacoes = 704928748; Trocas = 2056420768; Tempo = 37.793351
Comparacoes = 704915176; Trocas = 2050166101; Tempo = 37.855801
Comparacoes = 704915909; Trocas = 2055064671; Tempo = 37.692724
Comparacoes = 704936039; Trocas = 2050946528; Tempo = 37.846284
Comparacoes = 704978048; Trocas = 2044647539; Tempo = 37.851621
Comparacoes = 704939339; Trocas = 2032408874; Tempo = 37.572951
Comparacoes = 704856451; Trocas = 2049477045; Tempo = 37.838307
Comparacoes = 704865334; Trocas = 2042414836; Tempo = 37.667450
Comparacoes = 704972119; Trocas = 2046776308; Tempo = 37.792831
Comparacoes = 704935426; Trocas = 2040486754; Tempo = 37.981132
