Comparacoes = 498870; Trocas = 248994; Tempo = 0.002583
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002295
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002930
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002298
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002243
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002600
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002244
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002249
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002263
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002242
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002250
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002249
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002523
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002363
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002250
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002328
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002243
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002245
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002254
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002485
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002372
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002244
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002256
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002247
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002253
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002315
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002259
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002302
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002242
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002247
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002252
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002247
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002365
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002244
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002265
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002256
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002246
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002244
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002250
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002491
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002259
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002314
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002249
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002243
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002251
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002251
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002274
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002273
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002243
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002311
Comparacoes = 499485; Trocas = 187605; Tempo = 0.002280
