Comparacoes =   45; Trocas =   27; Tempo = 0.000002
Comparacoes =   39; Trocas =   18; Tempo = 0.000002
Comparacoes =   39; Trocas =   18; Tempo = 0.000002
Comparacoes =   39; Trocas =   18; Tempo = 0.000002
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000003
Comparacoes =   39; Trocas =   18; Tempo = 0.000004
Comparacoes =   39; Trocas =   18; Tempo = 0.000003
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000002
Comparacoes =   39; Trocas =   18; Tempo = 0.000006
Comparacoes =   39; Trocas =   18; Tempo = 0.000002
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
Comparacoes =   39; Trocas =   18; Tempo = 0.000001
