Comparacoes =   99; Trocas =    5; Tempo = 0.000014; Elementos = 6
Comparacoes =   99; Trocas =   13; Tempo = 0.000010; Elementos = 14
Comparacoes =   99; Trocas =    4; Tempo = 0.000030; Elementos = 5
Comparacoes =   99; Trocas =   16; Tempo = 0.000011; Elementos = 17
Comparacoes =   99; Trocas =    4; Tempo = 0.000011; Elementos = 5
Comparacoes =   99; Trocas =   16; Tempo = 0.000011; Elementos = 17
Comparacoes =   99; Trocas =    6; Tempo = 0.000011; Elementos = 7
Comparacoes =   99; Trocas =   15; Tempo = 0.000011; Elementos = 16
Comparacoes =   99; Trocas =    5; Tempo = 0.000011; Elementos = 6
Comparacoes =   99; Trocas =   13; Tempo = 0.000011; Elementos = 14
Comparacoes =   99; Trocas =    4; Tempo = 0.000011; Elementos = 5
Comparacoes =   99; Trocas =   22; Tempo = 0.000011; Elementos = 23
Comparacoes =   99; Trocas =    5; Tempo = 0.000011; Elementos = 6
Comparacoes =   99; Trocas =   18; Tempo = 0.000011; Elementos = 19
Comparacoes =   99; Trocas =    4; Tempo = 0.000011; Elementos = 5
Comparacoes =   99; Trocas =   11; Tempo = 0.000011; Elementos = 12
Comparacoes =   99; Trocas =    6; Tempo = 0.000011; Elementos = 7
Comparacoes =   99; Trocas =   15; Tempo = 0.000011; Elementos = 16
Comparacoes =   99; Trocas =    6; Tempo = 0.000011; Elementos = 7
Comparacoes =   99; Trocas =   15; Tempo = 0.000011; Elementos = 16
Comparacoes =   99; Trocas =    5; Tempo = 0.000011; Elementos = 6
Comparacoes =   99; Trocas =   16; Tempo = 0.000011; Elementos = 17
Comparacoes =   99; Trocas =    4; Tempo = 0.000011; Elementos = 5
Comparacoes =   99; Trocas =   24; Tempo = 0.000011; Elementos = 25
Comparacoes =   99; Trocas =    5; Tempo = 0.000011; Elementos = 6
Comparacoes =   99; Trocas =   13; Tempo = 0.000011; Elementos = 14
Comparacoes =   99; Trocas =    5; Tempo = 0.000011; Elementos = 6
Comparacoes =   99; Trocas =   14; Tempo = 0.000011; Elementos = 15
Comparacoes =   99; Trocas =    4; Tempo = 0.000011; Elementos = 5
Comparacoes =   99; Trocas =   18; Tempo = 0.000011; Elementos = 19
Comparacoes =   99; Trocas =    4; Tempo = 0.000011; Elementos = 5
Comparacoes =   99; Trocas =   12; Tempo = 0.000011; Elementos = 13
Comparacoes =   99; Trocas =    5; Tempo = 0.000011; Elementos = 6
Comparacoes =   99; Trocas =   13; Tempo = 0.000011; Elementos = 14
Comparacoes =   99; Trocas =    5; Tempo = 0.000012; Elementos = 6
Comparacoes =   99; Trocas =   20; Tempo = 0.000011; Elementos = 21
Comparacoes =   99; Trocas =    5; Tempo = 0.000011; Elementos = 6
Comparacoes =   99; Trocas =   15; Tempo = 0.000011; Elementos = 16
Comparacoes =   99; Trocas =    5; Tempo = 0.000011; Elementos = 6
Comparacoes =   99; Trocas =   17; Tempo = 0.000011; Elementos = 18
Comparacoes =   99; Trocas =    5; Tempo = 0.000011; Elementos = 6
Comparacoes =   99; Trocas =   15; Tempo = 0.000011; Elementos = 16
Comparacoes =   99; Trocas =    5; Tempo = 0.000011; Elementos = 6
Comparacoes =   99; Trocas =   15; Tempo = 0.000012; Elementos = 16
Comparacoes =   99; Trocas =    4; Tempo = 0.000011; Elementos = 5
Comparacoes =   99; Trocas =   14; Tempo = 0.000011; Elementos = 15
Comparacoes =   99; Trocas =    6; Tempo = 0.000011; Elementos = 7
Comparacoes =   99; Trocas =   24; Tempo = 0.000011; Elementos = 25
Comparacoes =   99; Trocas =    6; Tempo = 0.000011; Elementos = 7
Comparacoes =   99; Trocas =   13; Tempo = 0.000011; Elementos = 14
Comparacoes =   99; Trocas =    4; Tempo = 0.000011; Elementos = 5
