Comparacoes =   99; Trocas =    4; Tempo = 0.000013; Elementos = 5
Comparacoes =   99; Trocas =    7; Tempo = 0.000013; Elementos = 8
Comparacoes =   99; Trocas =    5; Tempo = 0.000010; Elementos = 6
Comparacoes =   99; Trocas =    4; Tempo = 0.000012; Elementos = 5
Comparacoes =   99; Trocas =    6; Tempo = 0.000012; Elementos = 7
Comparacoes =   99; Trocas =    5; Tempo = 0.000013; Elementos = 6
Comparacoes =   99; Trocas =    3; Tempo = 0.000012; Elementos = 4
Comparacoes =   99; Trocas =    4; Tempo = 0.000011; Elementos = 5
Comparacoes =   99; Trocas =    4; Tempo = 0.000011; Elementos = 5
Comparacoes =   99; Trocas =    5; Tempo = 0.000009; Elementos = 6
Comparacoes =   99; Trocas =    6; Tempo = 0.000009; Elementos = 7
Comparacoes =   99; Trocas =    4; Tempo = 0.000009; Elementos = 5
Comparacoes =   99; Trocas =    5; Tempo = 0.000013; Elementos = 6
Comparacoes =   99; Trocas =    7; Tempo = 0.000012; Elementos = 8
Comparacoes =   99; Trocas =    6; Tempo = 0.000031; Elementos = 7
Comparacoes =   99; Trocas =    5; Tempo = 0.000012; Elementos = 6
Comparacoes =   99; Trocas =    5; Tempo = 0.000012; Elementos = 6
Comparacoes =   99; Trocas =    4; Tempo = 0.000011; Elementos = 5
Comparacoes =   99; Trocas =    4; Tempo = 0.000012; Elementos = 5
Comparacoes =   99; Trocas =    7; Tempo = 0.000012; Elementos = 8
Comparacoes =   99; Trocas =    5; Tempo = 0.000011; Elementos = 6
Comparacoes =   99; Trocas =    6; Tempo = 0.000011; Elementos = 7
Comparacoes =   99; Trocas =    6; Tempo = 0.000012; Elementos = 7
Comparacoes =   99; Trocas =    3; Tempo = 0.000011; Elementos = 4
Comparacoes =   99; Trocas =    5; Tempo = 0.000011; Elementos = 6
Comparacoes =   99; Trocas =    4; Tempo = 0.000011; Elementos = 5
Comparacoes =   99; Trocas =    6; Tempo = 0.000011; Elementos = 7
Comparacoes =   99; Trocas =    5; Tempo = 0.000012; Elementos = 6
Comparacoes =   99; Trocas =    5; Tempo = 0.000013; Elementos = 6
Comparacoes =   99; Trocas =    4; Tempo = 0.000012; Elementos = 5
Comparacoes =   99; Trocas =    3; Tempo = 0.000012; Elementos = 4
Comparacoes =   99; Trocas =    7; Tempo = 0.000013; Elementos = 8
Comparacoes =   99; Trocas =    5; Tempo = 0.000012; Elementos = 6
Comparacoes =   99; Trocas =    5; Tempo = 0.000011; Elementos = 6
Comparacoes =   99; Trocas =    7; Tempo = 0.000013; Elementos = 8
Comparacoes =   99; Trocas =    5; Tempo = 0.000013; Elementos = 6
Comparacoes =   99; Trocas =    3; Tempo = 0.000013; Elementos = 4
Comparacoes =   99; Trocas =    3; Tempo = 0.000012; Elementos = 4
Comparacoes =   99; Trocas =    4; Tempo = 0.000013; Elementos = 5
Comparacoes =   99; Trocas =    4; Tempo = 0.000014; Elementos = 5
Comparacoes =   99; Trocas =    5; Tempo = 0.000014; Elementos = 6
Comparacoes =   99; Trocas =    4; Tempo = 0.000014; Elementos = 5
Comparacoes =   99; Trocas =    5; Tempo = 0.000014; Elementos = 6
Comparacoes =   99; Trocas =    7; Tempo = 0.000013; Elementos = 8
Comparacoes =   99; Trocas =    4; Tempo = 0.000014; Elementos = 5
Comparacoes =   99; Trocas =    5; Tempo = 0.000014; Elementos = 6
Comparacoes =   99; Trocas =    6; Tempo = 0.000013; Elementos = 7
Comparacoes =   99; Trocas =    5; Tempo = 0.000013; Elementos = 6
Comparacoes =   99; Trocas =    4; Tempo = 0.000013; Elementos = 5
Comparacoes =   99; Trocas =    8; Tempo = 0.000014; Elementos = 9
Comparacoes =   99; Trocas =    5; Tempo = 0.000013; Elementos = 6
