Comparacoes =    9; Trocas =    3; Tempo = 0.000002; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
Comparacoes =    9; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    9; Trocas =    3; Tempo = 0.000001; Elementos = 4
