Comparacoes =   47; Trocas =   47; Tempo = 0.000012; Elementos = 31
Comparacoes =   47; Trocas =   47; Tempo = 0.000012; Elementos = 31
Comparacoes =   52; Trocas =   52; Tempo = 0.000012; Elementos = 38
Comparacoes =   48; Trocas =   48; Tempo = 0.000012; Elementos = 32
Comparacoes =   49; Trocas =   49; Tempo = 0.000012; Elementos = 34
Comparacoes =   54; Trocas =   54; Tempo = 0.000012; Elementos = 40
Comparacoes =   47; Trocas =   47; Tempo = 0.000012; Elementos = 31
Comparacoes =   47; Trocas =   47; Tempo = 0.000012; Elementos = 31
Comparacoes =   49; Trocas =   49; Tempo = 0.000012; Elementos = 34
Comparacoes =   54; Trocas =   54; Tempo = 0.000012; Elementos = 40
Comparacoes =   49; Trocas =   49; Tempo = 0.000012; Elementos = 34
Comparacoes =   51; Trocas =   51; Tempo = 0.000012; Elementos = 36
Comparacoes =   50; Trocas =   50; Tempo = 0.000012; Elementos = 35
Comparacoes =   51; Trocas =   51; Tempo = 0.000012; Elementos = 36
Comparacoes =   55; Trocas =   55; Tempo = 0.000012; Elementos = 42
Comparacoes =   48; Trocas =   48; Tempo = 0.000012; Elementos = 32
Comparacoes =   46; Trocas =   46; Tempo = 0.000012; Elementos = 30
Comparacoes =   51; Trocas =   51; Tempo = 0.000012; Elementos = 36
Comparacoes =   50; Trocas =   50; Tempo = 0.000012; Elementos = 35
Comparacoes =   50; Trocas =   50; Tempo = 0.000012; Elementos = 35
Comparacoes =   49; Trocas =   49; Tempo = 0.000012; Elementos = 34
Comparacoes =   48; Trocas =   48; Tempo = 0.000012; Elementos = 32
Comparacoes =   51; Trocas =   51; Tempo = 0.000012; Elementos = 36
Comparacoes =   51; Trocas =   51; Tempo = 0.000012; Elementos = 36
Comparacoes =   50; Trocas =   50; Tempo = 0.000013; Elementos = 35
Comparacoes =   47; Trocas =   47; Tempo = 0.000013; Elementos = 31
Comparacoes =   49; Trocas =   49; Tempo = 0.000012; Elementos = 34
Comparacoes =   51; Trocas =   51; Tempo = 0.000012; Elementos = 36
Comparacoes =   49; Trocas =   49; Tempo = 0.000012; Elementos = 34
Comparacoes =   57; Trocas =   57; Tempo = 0.000012; Elementos = 44
Comparacoes =   47; Trocas =   47; Tempo = 0.000013; Elementos = 31
Comparacoes =   47; Trocas =   47; Tempo = 0.000012; Elementos = 31
Comparacoes =   50; Trocas =   50; Tempo = 0.000013; Elementos = 35
Comparacoes =   51; Trocas =   51; Tempo = 0.000012; Elementos = 37
Comparacoes =   55; Trocas =   55; Tempo = 0.000012; Elementos = 42
Comparacoes =   51; Trocas =   51; Tempo = 0.000012; Elementos = 37
Comparacoes =   47; Trocas =   47; Tempo = 0.000012; Elementos = 31
Comparacoes =   50; Trocas =   50; Tempo = 0.000020; Elementos = 35
Comparacoes =   52; Trocas =   52; Tempo = 0.000012; Elementos = 38
Comparacoes =   51; Trocas =   51; Tempo = 0.000012; Elementos = 36
Comparacoes =   46; Trocas =   46; Tempo = 0.000012; Elementos = 30
Comparacoes =   51; Trocas =   51; Tempo = 0.000012; Elementos = 36
Comparacoes =   50; Trocas =   50; Tempo = 0.000012; Elementos = 35
Comparacoes =   47; Trocas =   47; Tempo = 0.000012; Elementos = 31
Comparacoes =   55; Trocas =   55; Tempo = 0.000012; Elementos = 42
Comparacoes =   48; Trocas =   48; Tempo = 0.000012; Elementos = 33
Comparacoes =   47; Trocas =   47; Tempo = 0.000012; Elementos = 31
Comparacoes =   48; Trocas =   48; Tempo = 0.000012; Elementos = 32
Comparacoes =   50; Trocas =   50; Tempo = 0.000012; Elementos = 35
Comparacoes =   53; Trocas =   53; Tempo = 0.000013; Elementos = 39
Comparacoes =   49; Trocas =   49; Tempo = 0.000012; Elementos = 34
