Comparacoes =    6; Trocas =    6; Tempo = 0.000002; Elementos = 6
Comparacoes =    7; Trocas =    7; Tempo = 0.000001; Elementos = 8
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    8; Trocas =    8; Tempo = 0.000002; Elementos = 9
Comparacoes =    5; Trocas =    5; Tempo = 0.000001; Elementos = 5
Comparacoes =    9; Trocas =    9; Tempo = 0.000002; Elementos = 10
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 6
Comparacoes =    7; Trocas =    7; Tempo = 0.000001; Elementos = 8
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    8; Trocas =    8; Tempo = 0.000001; Elementos = 9
Comparacoes =    5; Trocas =    5; Tempo = 0.000001; Elementos = 5
Comparacoes =    9; Trocas =    9; Tempo = 0.000001; Elementos = 10
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 6
Comparacoes =    7; Trocas =    7; Tempo = 0.000001; Elementos = 8
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    8; Trocas =    8; Tempo = 0.000001; Elementos = 9
Comparacoes =    5; Trocas =    5; Tempo = 0.000001; Elementos = 5
Comparacoes =    9; Trocas =    9; Tempo = 0.000001; Elementos = 10
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 6
Comparacoes =    7; Trocas =    7; Tempo = 0.000001; Elementos = 8
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    8; Trocas =    8; Tempo = 0.000001; Elementos = 9
Comparacoes =    5; Trocas =    5; Tempo = 0.000001; Elementos = 5
Comparacoes =    9; Trocas =    9; Tempo = 0.000001; Elementos = 10
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 6
Comparacoes =    7; Trocas =    7; Tempo = 0.000001; Elementos = 8
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    8; Trocas =    8; Tempo = 0.000001; Elementos = 9
Comparacoes =    5; Trocas =    5; Tempo = 0.000001; Elementos = 5
Comparacoes =    9; Trocas =    9; Tempo = 0.000001; Elementos = 10
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 6
Comparacoes =    7; Trocas =    7; Tempo = 0.000001; Elementos = 8
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    8; Trocas =    8; Tempo = 0.000001; Elementos = 9
Comparacoes =    5; Trocas =    5; Tempo = 0.000001; Elementos = 5
Comparacoes =    9; Trocas =    9; Tempo = 0.000001; Elementos = 10
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 6
Comparacoes =    7; Trocas =    7; Tempo = 0.000001; Elementos = 8
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    8; Trocas =    8; Tempo = 0.000001; Elementos = 9
Comparacoes =    5; Trocas =    5; Tempo = 0.000001; Elementos = 5
Comparacoes =    9; Trocas =    9; Tempo = 0.000001; Elementos = 10
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 6
Comparacoes =    7; Trocas =    7; Tempo = 0.000001; Elementos = 8
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 7
Comparacoes =    8; Trocas =    8; Tempo = 0.000001; Elementos = 9
Comparacoes =    5; Trocas =    5; Tempo = 0.000001; Elementos = 5
Comparacoes =    9; Trocas =    9; Tempo = 0.000001; Elementos = 10
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 6
Comparacoes =    7; Trocas =    7; Tempo = 0.000001; Elementos = 8
Comparacoes =    6; Trocas =    6; Tempo = 0.000001; Elementos = 7
