Comparacoes = 24291; Trocas = 24291; Tempo = 0.005243; Elementos = 15723
Comparacoes = 24700; Trocas = 24700; Tempo = 0.006077; Elementos = 16268
Comparacoes = 24613; Trocas = 24613; Tempo = 0.005239; Elementos = 16152
Comparacoes = 25042; Trocas = 25042; Tempo = 0.004657; Elementos = 16724
Comparacoes = 24469; Trocas = 24469; Tempo = 0.005712; Elementos = 15960
Comparacoes = 25089; Trocas = 25089; Tempo = 0.004656; Elementos = 16787
Comparacoes = 24505; Trocas = 24505; Tempo = 0.004706; Elementos = 16008
Comparacoes = 24967; Trocas = 24967; Tempo = 0.005255; Elementos = 16624
Comparacoes = 24631; Trocas = 24631; Tempo = 0.006454; Elementos = 16176
Comparacoes = 24970; Trocas = 24970; Tempo = 0.005994; Elementos = 16628
Comparacoes = 24403; Trocas = 24403; Tempo = 0.006279; Elementos = 15872
Comparacoes = 25456; Trocas = 25456; Tempo = 0.003922; Elementos = 17276
Comparacoes = 24436; Trocas = 24436; Tempo = 0.003900; Elementos = 15916
Comparacoes = 24940; Trocas = 24940; Tempo = 0.003906; Elementos = 16588
Comparacoes = 24814; Trocas = 24814; Tempo = 0.004944; Elementos = 16420
Comparacoes = 25051; Trocas = 25051; Tempo = 0.003937; Elementos = 16736
Comparacoes = 24432; Trocas = 24432; Tempo = 0.003940; Elementos = 15911
Comparacoes = 25221; Trocas = 25221; Tempo = 0.003914; Elementos = 16963
Comparacoes = 24367; Trocas = 24367; Tempo = 0.005007; Elementos = 15824
Comparacoes = 25153; Trocas = 25153; Tempo = 0.003923; Elementos = 16872
Comparacoes = 24733; Trocas = 24733; Tempo = 0.003908; Elementos = 16312
Comparacoes = 24766; Trocas = 24766; Tempo = 0.004186; Elementos = 16356
Comparacoes = 24415; Trocas = 24415; Tempo = 0.006526; Elementos = 15888
Comparacoes = 25648; Trocas = 25648; Tempo = 0.004354; Elementos = 17532
Comparacoes = 24529; Trocas = 24529; Tempo = 0.003903; Elementos = 16040
Comparacoes = 24697; Trocas = 24697; Tempo = 0.004672; Elementos = 16264
Comparacoes = 24751; Trocas = 24751; Tempo = 0.004384; Elementos = 16336
Comparacoes = 25141; Trocas = 25141; Tempo = 0.006013; Elementos = 16856
Comparacoes = 24435; Trocas = 24435; Tempo = 0.004488; Elementos = 15915
Comparacoes = 25489; Trocas = 25489; Tempo = 0.005574; Elementos = 17320
Comparacoes = 24405; Trocas = 24405; Tempo = 0.005968; Elementos = 15875
Comparacoes = 24973; Trocas = 24973; Tempo = 0.005062; Elementos = 16632
Comparacoes = 24592; Trocas = 24592; Tempo = 0.005406; Elementos = 16124
Comparacoes = 24769; Trocas = 24769; Tempo = 0.003907; Elementos = 16360
Comparacoes = 24595; Trocas = 24595; Tempo = 0.004453; Elementos = 16128
Comparacoes = 25525; Trocas = 25525; Tempo = 0.006571; Elementos = 17368
Comparacoes = 24280; Trocas = 24280; Tempo = 0.004028; Elementos = 15708
Comparacoes = 24691; Trocas = 24691; Tempo = 0.003928; Elementos = 16256
Comparacoes = 24679; Trocas = 24679; Tempo = 0.006074; Elementos = 16240
Comparacoes = 25318; Trocas = 25318; Tempo = 0.004743; Elementos = 17092
Comparacoes = 24394; Trocas = 24394; Tempo = 0.003886; Elementos = 15860
Comparacoes = 25360; Trocas = 25360; Tempo = 0.004006; Elementos = 17148
Comparacoes = 24412; Trocas = 24412; Tempo = 0.003921; Elementos = 15884
Comparacoes = 24901; Trocas = 24901; Tempo = 0.005136; Elementos = 16536
Comparacoes = 24769; Trocas = 24769; Tempo = 0.003937; Elementos = 16360
Comparacoes = 24808; Trocas = 24808; Tempo = 0.006019; Elementos = 16412
Comparacoes = 24358; Trocas = 24358; Tempo = 0.006775; Elementos = 15812
Comparacoes = 25599; Trocas = 25599; Tempo = 0.005238; Elementos = 17467
Comparacoes = 24465; Trocas = 24465; Tempo = 0.003888; Elementos = 15955
Comparacoes = 24997; Trocas = 24997; Tempo = 0.005048; Elementos = 16664
Comparacoes = 24673; Trocas = 24673; Tempo = 0.003908; Elementos = 16232
