Comparacoes = 36528; Trocas = 36528; Tempo = 0.012784; Elementos = 15372
Comparacoes = 36769; Trocas = 36769; Tempo = 0.010248; Elementos = 15694
Comparacoes = 36747; Trocas = 36747; Tempo = 0.010791; Elementos = 15664
Comparacoes = 36778; Trocas = 36778; Tempo = 0.012657; Elementos = 15706
Comparacoes = 36537; Trocas = 36537; Tempo = 0.016032; Elementos = 15384
Comparacoes = 36775; Trocas = 36775; Tempo = 0.014738; Elementos = 15702
Comparacoes = 36601; Trocas = 36601; Tempo = 0.013354; Elementos = 15470
Comparacoes = 36913; Trocas = 36913; Tempo = 0.010085; Elementos = 15886
Comparacoes = 36711; Trocas = 36711; Tempo = 0.010202; Elementos = 15616
Comparacoes = 36873; Trocas = 36873; Tempo = 0.010734; Elementos = 15833
Comparacoes = 36603; Trocas = 36603; Tempo = 0.009158; Elementos = 15472
Comparacoes = 36700; Trocas = 36700; Tempo = 0.010164; Elementos = 15602
Comparacoes = 36564; Trocas = 36564; Tempo = 0.013265; Elementos = 15420
Comparacoes = 36742; Trocas = 36742; Tempo = 0.010847; Elementos = 15658
Comparacoes = 36801; Trocas = 36801; Tempo = 0.011715; Elementos = 15736
Comparacoes = 36876; Trocas = 36876; Tempo = 0.010560; Elementos = 15837
Comparacoes = 36483; Trocas = 36483; Tempo = 0.008823; Elementos = 15312
Comparacoes = 36799; Trocas = 36799; Tempo = 0.010572; Elementos = 15734
Comparacoes = 36573; Trocas = 36573; Tempo = 0.007949; Elementos = 15432
Comparacoes = 36808; Trocas = 36808; Tempo = 0.009030; Elementos = 15746
Comparacoes = 36702; Trocas = 36702; Tempo = 0.007962; Elementos = 15604
Comparacoes = 36805; Trocas = 36805; Tempo = 0.009133; Elementos = 15742
Comparacoes = 36561; Trocas = 36561; Tempo = 0.008586; Elementos = 15416
Comparacoes = 36928; Trocas = 36928; Tempo = 0.008693; Elementos = 15906
Comparacoes = 36576; Trocas = 36576; Tempo = 0.008490; Elementos = 15436
Comparacoes = 36682; Trocas = 36682; Tempo = 0.008299; Elementos = 15578
Comparacoes = 36835; Trocas = 36835; Tempo = 0.008599; Elementos = 15782
Comparacoes = 36951; Trocas = 36951; Tempo = 0.013350; Elementos = 15937
Comparacoes = 36636; Trocas = 36636; Tempo = 0.014012; Elementos = 15516
Comparacoes = 36862; Trocas = 36862; Tempo = 0.013633; Elementos = 15818
Comparacoes = 36573; Trocas = 36573; Tempo = 0.011442; Elementos = 15432
Comparacoes = 36916; Trocas = 36916; Tempo = 0.010509; Elementos = 15890
Comparacoes = 36573; Trocas = 36573; Tempo = 0.011608; Elementos = 15432
Comparacoes = 36813; Trocas = 36813; Tempo = 0.012558; Elementos = 15753
Comparacoes = 36627; Trocas = 36627; Tempo = 0.012432; Elementos = 15504
Comparacoes = 36979; Trocas = 36979; Tempo = 0.012134; Elementos = 15974
Comparacoes = 36660; Trocas = 36660; Tempo = 0.009991; Elementos = 15548
Comparacoes = 36706; Trocas = 36706; Tempo = 0.007909; Elementos = 15610
Comparacoes = 36789; Trocas = 36789; Tempo = 0.008927; Elementos = 15720
Comparacoes = 36949; Trocas = 36949; Tempo = 0.007914; Elementos = 15934
Comparacoes = 36603; Trocas = 36603; Tempo = 0.011779; Elementos = 15472
Comparacoes = 36820; Trocas = 36820; Tempo = 0.011136; Elementos = 15762
Comparacoes = 36684; Trocas = 36684; Tempo = 0.014197; Elementos = 15580
Comparacoes = 36703; Trocas = 36703; Tempo = 0.007949; Elementos = 15606
Comparacoes = 36822; Trocas = 36822; Tempo = 0.008637; Elementos = 15764
Comparacoes = 36843; Trocas = 36843; Tempo = 0.009301; Elementos = 15793
Comparacoes = 36669; Trocas = 36669; Tempo = 0.008869; Elementos = 15560
Comparacoes = 36877; Trocas = 36877; Tempo = 0.007909; Elementos = 15838
Comparacoes = 36822; Trocas = 36822; Tempo = 0.009111; Elementos = 15764
Comparacoes = 36820; Trocas = 36820; Tempo = 0.009494; Elementos = 15762
Comparacoes = 36747; Trocas = 36747; Tempo = 0.009513; Elementos = 15664
