Comparacoes =  362; Trocas =  362; Tempo = 0.000176; Elementos = 151
Comparacoes =  383; Trocas =  383; Tempo = 0.000120; Elementos = 179
Comparacoes =  355; Trocas =  355; Tempo = 0.000119; Elementos = 142
Comparacoes =  363; Trocas =  363; Tempo = 0.000120; Elementos = 153
Comparacoes =  377; Trocas =  377; Tempo = 0.000123; Elementos = 171
Comparacoes =  372; Trocas =  372; Tempo = 0.000126; Elementos = 164
Comparacoes =  374; Trocas =  374; Tempo = 0.000130; Elementos = 167
Comparacoes =  371; Trocas =  371; Tempo = 0.000128; Elementos = 163
Comparacoes =  360; Trocas =  360; Tempo = 0.000126; Elementos = 149
Comparacoes =  350; Trocas =  350; Tempo = 0.000120; Elementos = 135
Comparacoes =  358; Trocas =  358; Tempo = 0.000123; Elementos = 146
Comparacoes =  380; Trocas =  380; Tempo = 0.000122; Elementos = 175
Comparacoes =  358; Trocas =  358; Tempo = 0.000125; Elementos = 146
Comparacoes =  356; Trocas =  356; Tempo = 0.000123; Elementos = 143
Comparacoes =  358; Trocas =  358; Tempo = 0.000125; Elementos = 146
Comparacoes =  361; Trocas =  361; Tempo = 0.000122; Elementos = 150
Comparacoes =  376; Trocas =  376; Tempo = 0.000125; Elementos = 170
Comparacoes =  380; Trocas =  380; Tempo = 0.000124; Elementos = 175
Comparacoes =  358; Trocas =  358; Tempo = 0.000123; Elementos = 146
Comparacoes =  365; Trocas =  365; Tempo = 0.000123; Elementos = 155
Comparacoes =  361; Trocas =  361; Tempo = 0.000126; Elementos = 150
Comparacoes =  363; Trocas =  363; Tempo = 0.000125; Elementos = 152
Comparacoes =  371; Trocas =  371; Tempo = 0.000121; Elementos = 163
Comparacoes =  365; Trocas =  365; Tempo = 0.000124; Elementos = 155
Comparacoes =  349; Trocas =  349; Tempo = 0.000353; Elementos = 134
Comparacoes =  365; Trocas =  365; Tempo = 0.000117; Elementos = 155
Comparacoes =  358; Trocas =  358; Tempo = 0.000120; Elementos = 146
Comparacoes =  362; Trocas =  362; Tempo = 0.000187; Elementos = 151
Comparacoes =  371; Trocas =  371; Tempo = 0.000156; Elementos = 163
Comparacoes =  377; Trocas =  377; Tempo = 0.000115; Elementos = 171
Comparacoes =  368; Trocas =  368; Tempo = 0.000112; Elementos = 159
Comparacoes =  373; Trocas =  373; Tempo = 0.000127; Elementos = 166
Comparacoes =  369; Trocas =  369; Tempo = 0.000140; Elementos = 161
Comparacoes =  371; Trocas =  371; Tempo = 0.000155; Elementos = 163
Comparacoes =  374; Trocas =  374; Tempo = 0.000129; Elementos = 167
Comparacoes =  369; Trocas =  369; Tempo = 0.000124; Elementos = 160
Comparacoes =  368; Trocas =  368; Tempo = 0.000135; Elementos = 159
Comparacoes =  356; Trocas =  356; Tempo = 0.000126; Elementos = 143
Comparacoes =  361; Trocas =  361; Tempo = 0.000122; Elementos = 150
Comparacoes =  365; Trocas =  365; Tempo = 0.000129; Elementos = 155
Comparacoes =  367; Trocas =  367; Tempo = 0.000139; Elementos = 158
Comparacoes =  374; Trocas =  374; Tempo = 0.000120; Elementos = 167
Comparacoes =  361; Trocas =  361; Tempo = 0.000132; Elementos = 150
Comparacoes =  380; Trocas =  380; Tempo = 0.000140; Elementos = 175
Comparacoes =  360; Trocas =  360; Tempo = 0.000153; Elementos = 149
Comparacoes =  357; Trocas =  357; Tempo = 0.000140; Elementos = 144
Comparacoes =  367; Trocas =  367; Tempo = 0.000133; Elementos = 158
Comparacoes =  371; Trocas =  371; Tempo = 0.000128; Elementos = 163
Comparacoes =  360; Trocas =  360; Tempo = 0.000130; Elementos = 148
Comparacoes =  368; Trocas =  368; Tempo = 0.000137; Elementos = 159
Comparacoes =  361; Trocas =  361; Tempo = 0.000133; Elementos = 150
