Comparacoes =   32; Trocas =   32; Tempo = 0.000017; Elementos = 11
Comparacoes =   36; Trocas =   36; Tempo = 0.000037; Elementos = 16
Comparacoes =   33; Trocas =   33; Tempo = 0.000015; Elementos = 12
Comparacoes =   36; Trocas =   36; Tempo = 0.000023; Elementos = 17
Comparacoes =   30; Trocas =   30; Tempo = 0.000011; Elementos = 9
Comparacoes =   35; Trocas =   35; Tempo = 0.000011; Elementos = 15
Comparacoes =   35; Trocas =   35; Tempo = 0.000011; Elementos = 15
Comparacoes =   36; Trocas =   36; Tempo = 0.000012; Elementos = 16
Comparacoes =   36; Trocas =   36; Tempo = 0.000011; Elementos = 16
Comparacoes =   33; Trocas =   33; Tempo = 0.000011; Elementos = 12
Comparacoes =   30; Trocas =   30; Tempo = 0.000012; Elementos = 8
Comparacoes =   36; Trocas =   36; Tempo = 0.000012; Elementos = 17
Comparacoes =   32; Trocas =   32; Tempo = 0.000011; Elementos = 11
Comparacoes =   35; Trocas =   35; Tempo = 0.000011; Elementos = 15
Comparacoes =   35; Trocas =   35; Tempo = 0.000011; Elementos = 15
Comparacoes =   35; Trocas =   35; Tempo = 0.000012; Elementos = 15
Comparacoes =   30; Trocas =   30; Tempo = 0.000013; Elementos = 8
Comparacoes =   35; Trocas =   35; Tempo = 0.000011; Elementos = 15
Comparacoes =   39; Trocas =   39; Tempo = 0.000015; Elementos = 20
Comparacoes =   33; Trocas =   33; Tempo = 0.000012; Elementos = 12
Comparacoes =   35; Trocas =   35; Tempo = 0.000012; Elementos = 15
Comparacoes =   35; Trocas =   35; Tempo = 0.000011; Elementos = 15
Comparacoes =   30; Trocas =   30; Tempo = 0.000014; Elementos = 8
Comparacoes =   38; Trocas =   38; Tempo = 0.000012; Elementos = 19
Comparacoes =   33; Trocas =   33; Tempo = 0.000024; Elementos = 12
Comparacoes =   36; Trocas =   36; Tempo = 0.000012; Elementos = 16
Comparacoes =   35; Trocas =   35; Tempo = 0.000013; Elementos = 15
Comparacoes =   35; Trocas =   35; Tempo = 0.000012; Elementos = 15
Comparacoes =   30; Trocas =   30; Tempo = 0.000012; Elementos = 8
Comparacoes =   35; Trocas =   35; Tempo = 0.000012; Elementos = 15
Comparacoes =   35; Trocas =   35; Tempo = 0.000012; Elementos = 15
Comparacoes =   39; Trocas =   39; Tempo = 0.000012; Elementos = 20
Comparacoes =   35; Trocas =   35; Tempo = 0.000012; Elementos = 15
Comparacoes =   30; Trocas =   30; Tempo = 0.000012; Elementos = 9
Comparacoes =   30; Trocas =   30; Tempo = 0.000012; Elementos = 9
Comparacoes =   36; Trocas =   36; Tempo = 0.000013; Elementos = 16
Comparacoes =   32; Trocas =   32; Tempo = 0.000012; Elementos = 11
Comparacoes =   33; Trocas =   33; Tempo = 0.000012; Elementos = 12
Comparacoes =   34; Trocas =   34; Tempo = 0.000012; Elementos = 14
Comparacoes =   35; Trocas =   35; Tempo = 0.000013; Elementos = 15
Comparacoes =   30; Trocas =   30; Tempo = 0.000012; Elementos = 8
Comparacoes =   35; Trocas =   35; Tempo = 0.000012; Elementos = 15
Comparacoes =   38; Trocas =   38; Tempo = 0.000012; Elementos = 19
Comparacoes =   38; Trocas =   38; Tempo = 0.000012; Elementos = 19
Comparacoes =   35; Trocas =   35; Tempo = 0.000012; Elementos = 15
Comparacoes =   32; Trocas =   32; Tempo = 0.000012; Elementos = 11
Comparacoes =   30; Trocas =   30; Tempo = 0.000012; Elementos = 8
Comparacoes =   36; Trocas =   36; Tempo = 0.000013; Elementos = 16
Comparacoes =   33; Trocas =   33; Tempo = 0.000013; Elementos = 12
Comparacoes =   33; Trocas =   33; Tempo = 0.000013; Elementos = 12
Comparacoes =   33; Trocas =   33; Tempo = 0.000013; Elementos = 12
