Comparacoes =    3; Trocas =    3; Tempo = 0.000003; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 2
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 2
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 2
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 2
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 2
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 2
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 2
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 2
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 2
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 2
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 2
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 2
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 2
Comparacoes =    3; Trocas =    3; Tempo = 0.000001; Elementos = 3
