Comparacoes = 99999; Trocas =  172; Tempo = 0.003308; Elementos = 173
Comparacoes = 99999; Trocas = 1826; Tempo = 0.003177; Elementos = 1827
Comparacoes = 99999; Trocas =  172; Tempo = 0.004259; Elementos = 173
Comparacoes = 99999; Trocas = 1828; Tempo = 0.002635; Elementos = 1829
Comparacoes = 99999; Trocas =  172; Tempo = 0.002610; Elementos = 173
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002909; Elementos = 100000
Comparacoes = 99999; Trocas =  172; Tempo = 0.002611; Elementos = 173
Comparacoes = 99999; Trocas = 1826; Tempo = 0.002991; Elementos = 1827
Comparacoes = 99999; Trocas =  172; Tempo = 0.003455; Elementos = 173
Comparacoes = 99999; Trocas = 1828; Tempo = 0.003255; Elementos = 1829
Comparacoes = 99999; Trocas =  172; Tempo = 0.003227; Elementos = 173
Comparacoes = 99999; Trocas = 99999; Tempo = 0.003612; Elementos = 100000
Comparacoes = 99999; Trocas =  172; Tempo = 0.002632; Elementos = 173
Comparacoes = 99999; Trocas = 1826; Tempo = 0.003364; Elementos = 1827
Comparacoes = 99999; Trocas =  172; Tempo = 0.004318; Elementos = 173
Comparacoes = 99999; Trocas = 1828; Tempo = 0.004252; Elementos = 1829
Comparacoes = 99999; Trocas =  172; Tempo = 0.003442; Elementos = 173
Comparacoes = 99999; Trocas = 99999; Tempo = 0.003544; Elementos = 100000
Comparacoes = 99999; Trocas =  172; Tempo = 0.003167; Elementos = 173
Comparacoes = 99999; Trocas = 1826; Tempo = 0.003267; Elementos = 1827
Comparacoes = 99999; Trocas =  172; Tempo = 0.003581; Elementos = 173
Comparacoes = 99999; Trocas = 1828; Tempo = 0.002664; Elementos = 1829
Comparacoes = 99999; Trocas =  172; Tempo = 0.002623; Elementos = 173
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002916; Elementos = 100000
Comparacoes = 99999; Trocas =  172; Tempo = 0.002614; Elementos = 173
Comparacoes = 99999; Trocas = 1826; Tempo = 0.002629; Elementos = 1827
Comparacoes = 99999; Trocas =  172; Tempo = 0.006830; Elementos = 173
Comparacoes = 99999; Trocas = 1828; Tempo = 0.006343; Elementos = 1829
Comparacoes = 99999; Trocas =  172; Tempo = 0.002688; Elementos = 173
Comparacoes = 99999; Trocas = 99999; Tempo = 0.003670; Elementos = 100000
Comparacoes = 99999; Trocas =  172; Tempo = 0.002647; Elementos = 173
Comparacoes = 99999; Trocas = 1826; Tempo = 0.002922; Elementos = 1827
Comparacoes = 99999; Trocas =  172; Tempo = 0.003429; Elementos = 173
Comparacoes = 99999; Trocas = 1828; Tempo = 0.003283; Elementos = 1829
Comparacoes = 99999; Trocas =  172; Tempo = 0.005145; Elementos = 173
Comparacoes = 99999; Trocas = 99999; Tempo = 0.005428; Elementos = 100000
Comparacoes = 99999; Trocas =  172; Tempo = 0.006085; Elementos = 173
Comparacoes = 99999; Trocas = 1826; Tempo = 0.005508; Elementos = 1827
Comparacoes = 99999; Trocas =  172; Tempo = 0.005533; Elementos = 173
Comparacoes = 99999; Trocas = 1828; Tempo = 0.004088; Elementos = 1829
Comparacoes = 99999; Trocas =  172; Tempo = 0.003307; Elementos = 173
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002981; Elementos = 100000
Comparacoes = 99999; Trocas =  172; Tempo = 0.002682; Elementos = 173
Comparacoes = 99999; Trocas = 1826; Tempo = 0.002701; Elementos = 1827
Comparacoes = 99999; Trocas =  172; Tempo = 0.005463; Elementos = 173
Comparacoes = 99999; Trocas = 1828; Tempo = 0.005681; Elementos = 1829
Comparacoes = 99999; Trocas =  172; Tempo = 0.005157; Elementos = 173
Comparacoes = 99999; Trocas = 99999; Tempo = 0.003311; Elementos = 100000
Comparacoes = 99999; Trocas =  172; Tempo = 0.003103; Elementos = 173
Comparacoes = 99999; Trocas = 1826; Tempo = 0.003229; Elementos = 1827
Comparacoes = 99999; Trocas =  172; Tempo = 0.003224; Elementos = 173
