Comparacoes =   99; Trocas =   36; Tempo = 0.000007; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000005; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000005; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000004; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000009; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000008; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000005; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000006; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000006; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000005; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000004; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000004; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000004; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   36; Tempo = 0.000003; Elementos = 37
