Comparacoes = 49999; Trocas =   96; Tempo = 0.001571; Elementos = 97
Comparacoes = 49999; Trocas = 6662; Tempo = 0.001354; Elementos = 6663
Comparacoes = 49999; Trocas =   96; Tempo = 0.001347; Elementos = 97
Comparacoes = 49999; Trocas = 6663; Tempo = 0.001366; Elementos = 6664
Comparacoes = 49999; Trocas =   96; Tempo = 0.001361; Elementos = 97
Comparacoes = 49999; Trocas = 39075; Tempo = 0.001638; Elementos = 39076
Comparacoes = 49999; Trocas =   96; Tempo = 0.001424; Elementos = 97
Comparacoes = 49999; Trocas = 6662; Tempo = 0.001464; Elementos = 6663
Comparacoes = 49999; Trocas =   96; Tempo = 0.001654; Elementos = 97
Comparacoes = 49999; Trocas = 6663; Tempo = 0.001632; Elementos = 6664
Comparacoes = 49999; Trocas =   96; Tempo = 0.001612; Elementos = 97
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001667; Elementos = 50000
Comparacoes = 49999; Trocas =   96; Tempo = 0.001613; Elementos = 97
Comparacoes = 49999; Trocas = 6662; Tempo = 0.001632; Elementos = 6663
Comparacoes = 49999; Trocas =   96; Tempo = 0.001612; Elementos = 97
Comparacoes = 49999; Trocas = 6663; Tempo = 0.001664; Elementos = 6664
Comparacoes = 49999; Trocas =   96; Tempo = 0.001796; Elementos = 97
Comparacoes = 49999; Trocas = 39075; Tempo = 0.001739; Elementos = 39076
Comparacoes = 49999; Trocas =   96; Tempo = 0.001633; Elementos = 97
Comparacoes = 49999; Trocas = 6662; Tempo = 0.001630; Elementos = 6663
Comparacoes = 49999; Trocas =   96; Tempo = 0.001611; Elementos = 97
Comparacoes = 49999; Trocas = 6663; Tempo = 0.001630; Elementos = 6664
Comparacoes = 49999; Trocas =   96; Tempo = 0.001610; Elementos = 97
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001778; Elementos = 50000
Comparacoes = 49999; Trocas =   96; Tempo = 0.001308; Elementos = 97
Comparacoes = 49999; Trocas = 6662; Tempo = 0.001322; Elementos = 6663
Comparacoes = 49999; Trocas =   96; Tempo = 0.001758; Elementos = 97
Comparacoes = 49999; Trocas = 6663; Tempo = 0.001796; Elementos = 6664
Comparacoes = 49999; Trocas =   96; Tempo = 0.001613; Elementos = 97
Comparacoes = 49999; Trocas = 39075; Tempo = 0.001752; Elementos = 39076
Comparacoes = 49999; Trocas =   96; Tempo = 0.001316; Elementos = 97
Comparacoes = 49999; Trocas = 6662; Tempo = 0.001323; Elementos = 6663
Comparacoes = 49999; Trocas =   96; Tempo = 0.001303; Elementos = 97
Comparacoes = 49999; Trocas = 6663; Tempo = 0.001323; Elementos = 6664
Comparacoes = 49999; Trocas =   96; Tempo = 0.001303; Elementos = 97
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001456; Elementos = 50000
Comparacoes = 49999; Trocas =   96; Tempo = 0.001305; Elementos = 97
Comparacoes = 49999; Trocas = 6662; Tempo = 0.001765; Elementos = 6663
Comparacoes = 49999; Trocas =  173; Tempo = 0.001621; Elementos = 174
Comparacoes = 49999; Trocas = 2034; Tempo = 0.001615; Elementos = 2035
Comparacoes = 49999; Trocas =  173; Tempo = 0.001610; Elementos = 174
Comparacoes = 49999; Trocas = 2034; Tempo = 0.001618; Elementos = 2035
Comparacoes = 49999; Trocas =  173; Tempo = 0.001612; Elementos = 174
Comparacoes = 49999; Trocas = 6662; Tempo = 0.001631; Elementos = 6663
Comparacoes = 49999; Trocas =  173; Tempo = 0.001613; Elementos = 174
Comparacoes = 49999; Trocas = 2034; Tempo = 0.001618; Elementos = 2035
Comparacoes = 49999; Trocas =  173; Tempo = 0.001642; Elementos = 174
Comparacoes = 49999; Trocas = 2034; Tempo = 0.001670; Elementos = 2035
Comparacoes = 49999; Trocas =  173; Tempo = 0.001627; Elementos = 174
Comparacoes = 49999; Trocas = 6662; Tempo = 0.001648; Elementos = 6663
Comparacoes = 49999; Trocas =  173; Tempo = 0.001625; Elementos = 174
