Comparacoes = 99999; Trocas = 23492; Tempo = 0.007754; Elementos = 23493
Comparacoes = 99999; Trocas = 99873; Tempo = 0.007455; Elementos = 99874
Comparacoes = 99999; Trocas = 25400; Tempo = 0.005152; Elementos = 25401
Comparacoes = 99999; Trocas = 99880; Tempo = 0.005951; Elementos = 99881
Comparacoes = 99999; Trocas = 25375; Tempo = 0.008281; Elementos = 25376
Comparacoes = 99999; Trocas = 99998; Tempo = 0.006537; Elementos = 99999
Comparacoes = 99999; Trocas = 23492; Tempo = 0.006419; Elementos = 23493
Comparacoes = 99999; Trocas = 99873; Tempo = 0.006299; Elementos = 99874
Comparacoes = 99999; Trocas = 25400; Tempo = 0.003386; Elementos = 25401
Comparacoes = 99999; Trocas = 99880; Tempo = 0.003351; Elementos = 99881
Comparacoes = 99999; Trocas = 25375; Tempo = 0.003062; Elementos = 25376
Comparacoes = 99999; Trocas = 99998; Tempo = 0.003158; Elementos = 99999
Comparacoes = 99999; Trocas = 23492; Tempo = 0.002763; Elementos = 23493
Comparacoes = 99999; Trocas = 99873; Tempo = 0.003080; Elementos = 99874
Comparacoes = 99999; Trocas = 25400; Tempo = 0.003179; Elementos = 25401
Comparacoes = 99999; Trocas = 99880; Tempo = 0.003908; Elementos = 99881
Comparacoes = 99999; Trocas = 25375; Tempo = 0.003340; Elementos = 25376
Comparacoes = 99999; Trocas = 99998; Tempo = 0.003692; Elementos = 99999
Comparacoes = 99999; Trocas = 23492; Tempo = 0.002770; Elementos = 23493
Comparacoes = 99999; Trocas = 99873; Tempo = 0.003046; Elementos = 99874
Comparacoes = 99999; Trocas = 25400; Tempo = 0.003124; Elementos = 25401
Comparacoes = 99999; Trocas = 99880; Tempo = 0.003692; Elementos = 99881
Comparacoes = 99999; Trocas = 25375; Tempo = 0.002733; Elementos = 25376
Comparacoes = 99999; Trocas = 99998; Tempo = 0.003096; Elementos = 99999
Comparacoes = 99999; Trocas = 23492; Tempo = 0.002722; Elementos = 23493
Comparacoes = 99999; Trocas = 99873; Tempo = 0.003231; Elementos = 99874
Comparacoes = 99999; Trocas = 25400; Tempo = 0.002731; Elementos = 25401
Comparacoes = 99999; Trocas = 99880; Tempo = 0.003041; Elementos = 99881
Comparacoes = 99999; Trocas = 25375; Tempo = 0.002725; Elementos = 25376
Comparacoes = 99999; Trocas = 99998; Tempo = 0.003638; Elementos = 99999
Comparacoes = 99999; Trocas = 23492; Tempo = 0.002718; Elementos = 23493
Comparacoes = 99999; Trocas = 99873; Tempo = 0.003118; Elementos = 99874
Comparacoes = 99999; Trocas = 25400; Tempo = 0.002733; Elementos = 25401
Comparacoes = 99999; Trocas = 99880; Tempo = 0.003032; Elementos = 99881
Comparacoes = 99999; Trocas = 25375; Tempo = 0.003247; Elementos = 25376
Comparacoes = 99999; Trocas = 99998; Tempo = 0.003660; Elementos = 99999
Comparacoes = 99999; Trocas = 23492; Tempo = 0.002718; Elementos = 23493
Comparacoes = 99999; Trocas = 99873; Tempo = 0.003043; Elementos = 99874
Comparacoes = 99999; Trocas = 25400; Tempo = 0.002724; Elementos = 25401
Comparacoes = 99999; Trocas = 99880; Tempo = 0.003970; Elementos = 99881
Comparacoes = 99999; Trocas = 25375; Tempo = 0.003467; Elementos = 25376
Comparacoes = 99999; Trocas = 99998; Tempo = 0.004897; Elementos = 99999
Comparacoes = 99999; Trocas = 23492; Tempo = 0.003017; Elementos = 23493
Comparacoes = 99999; Trocas = 99873; Tempo = 0.004056; Elementos = 99874
Comparacoes = 99999; Trocas = 25400; Tempo = 0.003033; Elementos = 25401
Comparacoes = 99999; Trocas = 99880; Tempo = 0.003793; Elementos = 99881
Comparacoes = 99999; Trocas = 25375; Tempo = 0.003033; Elementos = 25376
Comparacoes = 99999; Trocas = 99998; Tempo = 0.004336; Elementos = 99999
Comparacoes = 99999; Trocas = 23492; Tempo = 0.003727; Elementos = 23493
Comparacoes = 99999; Trocas = 99873; Tempo = 0.004273; Elementos = 99874
Comparacoes = 99999; Trocas = 25400; Tempo = 0.003434; Elementos = 25401
