Comparacoes =  999; Trocas =  950; Tempo = 0.000053; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000048; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000048; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000052; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000085; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000048; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000047; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000051; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000052; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000052; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000054; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000060; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000060; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000058; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000061; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000057; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000084; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000049; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000054; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000053; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000052; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000059; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000057; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000056; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000051; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000052; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000055; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000046; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000054; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000057; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000054; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000073; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000052; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000052; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000056; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000059; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000056; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000060; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000061; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000060; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000061; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000061; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000079; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000059; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000060; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000053; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000054; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000057; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000055; Elementos = 951
Comparacoes =  999; Trocas =  909; Tempo = 0.000056; Elementos = 910
Comparacoes =  999; Trocas =  950; Tempo = 0.000053; Elementos = 951
