Comparacoes =   99; Trocas =   92; Tempo = 0.000006; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000006; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000005; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
Comparacoes =   99; Trocas =   92; Tempo = 0.000004; Elementos = 93
