Comparacoes = 99856; Trocas = 99856; Tempo = 0.003671; Elementos = 99810
Comparacoes = 96585; Trocas = 96585; Tempo = 0.003416; Elementos = 95448
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002960; Elementos = 100000
Comparacoes = 96596; Trocas = 96596; Tempo = 0.002961; Elementos = 95463
Comparacoes = 99864; Trocas = 99864; Tempo = 0.003488; Elementos = 99821
Comparacoes = 96708; Trocas = 96708; Tempo = 0.002968; Elementos = 95612
Comparacoes = 99856; Trocas = 99856; Tempo = 0.003345; Elementos = 99810
Comparacoes = 96585; Trocas = 96585; Tempo = 0.003559; Elementos = 95448
Comparacoes = 99999; Trocas = 99999; Tempo = 0.003586; Elementos = 100000
Comparacoes = 96596; Trocas = 96596; Tempo = 0.003649; Elementos = 95463
Comparacoes = 99864; Trocas = 99864; Tempo = 0.003058; Elementos = 99821
Comparacoes = 96708; Trocas = 96708; Tempo = 0.002947; Elementos = 95612
Comparacoes = 99856; Trocas = 99856; Tempo = 0.002913; Elementos = 99810
Comparacoes = 96585; Trocas = 96585; Tempo = 0.002934; Elementos = 95448
Comparacoes = 99999; Trocas = 99999; Tempo = 0.003093; Elementos = 100000
Comparacoes = 96596; Trocas = 96596; Tempo = 0.002974; Elementos = 95463
Comparacoes = 99864; Trocas = 99864; Tempo = 0.003552; Elementos = 99821
Comparacoes = 96708; Trocas = 96708; Tempo = 0.003595; Elementos = 95612
Comparacoes = 99856; Trocas = 99856; Tempo = 0.002913; Elementos = 99810
Comparacoes = 96585; Trocas = 96585; Tempo = 0.002950; Elementos = 95448
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002926; Elementos = 100000
Comparacoes = 96596; Trocas = 96596; Tempo = 0.002943; Elementos = 95463
Comparacoes = 99864; Trocas = 99864; Tempo = 0.002905; Elementos = 99821
Comparacoes = 96708; Trocas = 96708; Tempo = 0.002941; Elementos = 95612
Comparacoes = 99856; Trocas = 99856; Tempo = 0.002904; Elementos = 99810
Comparacoes = 96585; Trocas = 96585; Tempo = 0.002955; Elementos = 95448
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002921; Elementos = 100000
Comparacoes = 96596; Trocas = 96596; Tempo = 0.002946; Elementos = 95463
Comparacoes = 99864; Trocas = 99864; Tempo = 0.002909; Elementos = 99821
Comparacoes = 96708; Trocas = 96708; Tempo = 0.002944; Elementos = 95612
Comparacoes = 99856; Trocas = 99856; Tempo = 0.002920; Elementos = 99810
Comparacoes = 96585; Trocas = 96585; Tempo = 0.003278; Elementos = 95448
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002910; Elementos = 100000
Comparacoes = 96596; Trocas = 96596; Tempo = 0.002946; Elementos = 95463
Comparacoes = 99864; Trocas = 99864; Tempo = 0.002915; Elementos = 99821
Comparacoes = 96708; Trocas = 96708; Tempo = 0.002944; Elementos = 95612
Comparacoes = 99856; Trocas = 99856; Tempo = 0.003078; Elementos = 99810
Comparacoes = 96585; Trocas = 96585; Tempo = 0.002934; Elementos = 95448
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002911; Elementos = 100000
Comparacoes = 96596; Trocas = 96596; Tempo = 0.002943; Elementos = 95463
Comparacoes = 99864; Trocas = 99864; Tempo = 0.002913; Elementos = 99821
Comparacoes = 96708; Trocas = 96708; Tempo = 0.002992; Elementos = 95612
Comparacoes = 99856; Trocas = 99856; Tempo = 0.002913; Elementos = 99810
Comparacoes = 96585; Trocas = 96585; Tempo = 0.002935; Elementos = 95448
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002909; Elementos = 100000
Comparacoes = 96596; Trocas = 96596; Tempo = 0.002941; Elementos = 95463
Comparacoes = 99864; Trocas = 99864; Tempo = 0.002903; Elementos = 99821
Comparacoes = 96708; Trocas = 96708; Tempo = 0.003405; Elementos = 95612
Comparacoes = 99856; Trocas = 99856; Tempo = 0.003521; Elementos = 99810
Comparacoes = 96585; Trocas = 96585; Tempo = 0.002942; Elementos = 95448
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002902; Elementos = 100000
