Comparacoes =  910; Trocas =  910; Tempo = 0.000059; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000047; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000050; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000051; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000055; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000056; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000077; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000056; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000055; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000055; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000057; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000058; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000058; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000056; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000058; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000054; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000056; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000052; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000055; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000054; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000055; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000052; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000051; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000051; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000055; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000056; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000078; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000054; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000053; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000057; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000058; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000054; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000055; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000057; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000053; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000053; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000056; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000056; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000050; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000046; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000048; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000048; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000052; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000055; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000056; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000067; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000068; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000066; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000062; Elementos = 882
Comparacoes =  948; Trocas =  948; Tempo = 0.000053; Elementos = 932
Comparacoes =  910; Trocas =  910; Tempo = 0.000053; Elementos = 882
