Comparacoes =   93; Trocas =   93; Tempo = 0.000006; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000006; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000004; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000004; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000004; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000006; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000004; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000004; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000004; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000004; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000008; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000006; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000008; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000008; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000021; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
Comparacoes =   93; Trocas =   93; Tempo = 0.000005; Elementos = 93
