Comparacoes =  999; Trocas =   13; Tempo = 0.000105; Elementos = 14
Comparacoes =  999; Trocas =   96; Tempo = 0.000071; Elementos = 97
Comparacoes =  999; Trocas =   37; Tempo = 0.000077; Elementos = 38
Comparacoes =  999; Trocas =  101; Tempo = 0.000064; Elementos = 102
Comparacoes =  999; Trocas =   13; Tempo = 0.000037; Elementos = 14
Comparacoes =  999; Trocas =  329; Tempo = 0.000038; Elementos = 330
Comparacoes =  999; Trocas =   13; Tempo = 0.000038; Elementos = 14
Comparacoes =  999; Trocas =  102; Tempo = 0.000039; Elementos = 103
Comparacoes =  999; Trocas =   37; Tempo = 0.000037; Elementos = 38
Comparacoes =  999; Trocas =   98; Tempo = 0.000037; Elementos = 99
Comparacoes =  999; Trocas =   13; Tempo = 0.000037; Elementos = 14
Comparacoes =  999; Trocas =  999; Tempo = 0.000038; Elementos = 1000
Comparacoes =  999; Trocas =   13; Tempo = 0.000037; Elementos = 14
Comparacoes =  999; Trocas =   96; Tempo = 0.000035; Elementos = 97
Comparacoes =  999; Trocas =   37; Tempo = 0.000037; Elementos = 38
Comparacoes =  999; Trocas =  101; Tempo = 0.000038; Elementos = 102
Comparacoes =  999; Trocas =   13; Tempo = 0.000037; Elementos = 14
Comparacoes =  999; Trocas =  329; Tempo = 0.000037; Elementos = 330
Comparacoes =  999; Trocas =   13; Tempo = 0.000037; Elementos = 14
Comparacoes =  999; Trocas =  102; Tempo = 0.000037; Elementos = 103
Comparacoes =  999; Trocas =   37; Tempo = 0.000038; Elementos = 38
Comparacoes =  999; Trocas =   98; Tempo = 0.000037; Elementos = 99
Comparacoes =  999; Trocas =   13; Tempo = 0.000037; Elementos = 14
Comparacoes =  999; Trocas =  999; Tempo = 0.000040; Elementos = 1000
Comparacoes =  999; Trocas =   13; Tempo = 0.000038; Elementos = 14
Comparacoes =  999; Trocas =   96; Tempo = 0.000038; Elementos = 97
Comparacoes =  999; Trocas =   37; Tempo = 0.000039; Elementos = 38
Comparacoes =  999; Trocas =  101; Tempo = 0.000038; Elementos = 102
Comparacoes =  999; Trocas =   13; Tempo = 0.000039; Elementos = 14
Comparacoes =  999; Trocas =  329; Tempo = 0.000038; Elementos = 330
Comparacoes =  999; Trocas =   13; Tempo = 0.000038; Elementos = 14
Comparacoes =  999; Trocas =  102; Tempo = 0.000038; Elementos = 103
Comparacoes =  999; Trocas =   37; Tempo = 0.000038; Elementos = 38
Comparacoes =  999; Trocas =   98; Tempo = 0.000039; Elementos = 99
Comparacoes =  999; Trocas =   13; Tempo = 0.000037; Elementos = 14
Comparacoes =  999; Trocas =  999; Tempo = 0.000041; Elementos = 1000
Comparacoes =  999; Trocas =   13; Tempo = 0.000038; Elementos = 14
Comparacoes =  999; Trocas =   96; Tempo = 0.000036; Elementos = 97
Comparacoes =  999; Trocas =   37; Tempo = 0.000038; Elementos = 38
Comparacoes =  999; Trocas =  101; Tempo = 0.000039; Elementos = 102
Comparacoes =  999; Trocas =   13; Tempo = 0.000037; Elementos = 14
Comparacoes =  999; Trocas =  329; Tempo = 0.000036; Elementos = 330
Comparacoes =  999; Trocas =   13; Tempo = 0.000036; Elementos = 14
Comparacoes =  999; Trocas =  102; Tempo = 0.000037; Elementos = 103
Comparacoes =  999; Trocas =   37; Tempo = 0.000038; Elementos = 38
Comparacoes =  999; Trocas =   98; Tempo = 0.000038; Elementos = 99
Comparacoes =  999; Trocas =   13; Tempo = 0.000036; Elementos = 14
Comparacoes =  999; Trocas =  999; Tempo = 0.000042; Elementos = 1000
Comparacoes =  999; Trocas =   13; Tempo = 0.000039; Elementos = 14
Comparacoes =  999; Trocas =   96; Tempo = 0.000037; Elementos = 97
Comparacoes =  999; Trocas =   37; Tempo = 0.000037; Elementos = 38
