Comparacoes = 24999; Trocas =  197; Tempo = 0.001505; Elementos = 198
Comparacoes = 24999; Trocas = 6727; Tempo = 0.001539; Elementos = 6728
Comparacoes = 24999; Trocas =  208; Tempo = 0.001392; Elementos = 209
Comparacoes = 24999; Trocas = 4760; Tempo = 0.001490; Elementos = 4761
Comparacoes = 24999; Trocas =  197; Tempo = 0.001418; Elementos = 198
Comparacoes = 24999; Trocas = 19188; Tempo = 0.001481; Elementos = 19189
Comparacoes = 24999; Trocas =  197; Tempo = 0.001055; Elementos = 198
Comparacoes = 24999; Trocas = 6790; Tempo = 0.000810; Elementos = 6791
Comparacoes = 24999; Trocas =  208; Tempo = 0.000766; Elementos = 209
Comparacoes = 24999; Trocas = 5330; Tempo = 0.000789; Elementos = 5331
Comparacoes = 24999; Trocas =  197; Tempo = 0.000765; Elementos = 198
Comparacoes = 24999; Trocas = 24638; Tempo = 0.000878; Elementos = 24639
Comparacoes = 24999; Trocas =  197; Tempo = 0.000765; Elementos = 198
Comparacoes = 24999; Trocas = 5959; Tempo = 0.000792; Elementos = 5960
Comparacoes = 24999; Trocas =  208; Tempo = 0.000765; Elementos = 209
Comparacoes = 24999; Trocas = 4760; Tempo = 0.000784; Elementos = 4761
Comparacoes = 24999; Trocas =  197; Tempo = 0.000765; Elementos = 198
Comparacoes = 24999; Trocas = 15750; Tempo = 0.000828; Elementos = 15751
Comparacoes = 24999; Trocas =  197; Tempo = 0.000783; Elementos = 198
Comparacoes = 24999; Trocas = 6807; Tempo = 0.001149; Elementos = 6808
Comparacoes = 24999; Trocas =  208; Tempo = 0.000857; Elementos = 209
Comparacoes = 24999; Trocas = 4710; Tempo = 0.000790; Elementos = 4711
Comparacoes = 24999; Trocas =  197; Tempo = 0.000766; Elementos = 198
Comparacoes = 24999; Trocas = 24639; Tempo = 0.000868; Elementos = 24640
Comparacoes = 24999; Trocas =  197; Tempo = 0.000765; Elementos = 198
Comparacoes = 24999; Trocas = 5959; Tempo = 0.000792; Elementos = 5960
Comparacoes = 24999; Trocas =  208; Tempo = 0.000765; Elementos = 209
Comparacoes = 24999; Trocas = 4759; Tempo = 0.000784; Elementos = 4760
Comparacoes = 24999; Trocas =  197; Tempo = 0.000765; Elementos = 198
Comparacoes = 24999; Trocas = 19235; Tempo = 0.000864; Elementos = 19236
Comparacoes = 24999; Trocas =  197; Tempo = 0.000768; Elementos = 198
Comparacoes = 24999; Trocas = 6790; Tempo = 0.000795; Elementos = 6791
Comparacoes = 24999; Trocas =  208; Tempo = 0.000764; Elementos = 209
Comparacoes = 24999; Trocas = 4710; Tempo = 0.000784; Elementos = 4711
Comparacoes = 24999; Trocas =  197; Tempo = 0.000763; Elementos = 198
Comparacoes = 24999; Trocas = 24638; Tempo = 0.000869; Elementos = 24639
Comparacoes = 24999; Trocas =  197; Tempo = 0.000783; Elementos = 198
Comparacoes = 24999; Trocas = 6727; Tempo = 0.000796; Elementos = 6728
Comparacoes = 24999; Trocas =  208; Tempo = 0.000762; Elementos = 209
Comparacoes = 24999; Trocas = 5382; Tempo = 0.000948; Elementos = 5383
Comparacoes = 24999; Trocas =  197; Tempo = 0.001053; Elementos = 198
Comparacoes = 24999; Trocas = 19188; Tempo = 0.000875; Elementos = 19189
Comparacoes = 24999; Trocas =  197; Tempo = 0.000771; Elementos = 198
Comparacoes = 24999; Trocas = 6020; Tempo = 0.000791; Elementos = 6021
Comparacoes = 24999; Trocas =  208; Tempo = 0.000765; Elementos = 209
Comparacoes = 24999; Trocas = 4710; Tempo = 0.000782; Elementos = 4711
Comparacoes = 24999; Trocas =  197; Tempo = 0.000765; Elementos = 198
Comparacoes = 24999; Trocas = 17513; Tempo = 0.000837; Elementos = 17514
Comparacoes = 24999; Trocas =  197; Tempo = 0.000766; Elementos = 198
Comparacoes = 24999; Trocas = 6744; Tempo = 0.000795; Elementos = 6745
Comparacoes = 24999; Trocas =  208; Tempo = 0.000762; Elementos = 209
