Comparacoes =  956; Trocas =  956; Tempo = 0.000057; Elementos = 943
Comparacoes =  778; Trocas =  778; Tempo = 0.000053; Elementos = 706
Comparacoes =  991; Trocas =  991; Tempo = 0.000054; Elementos = 990
Comparacoes =  775; Trocas =  775; Tempo = 0.000074; Elementos = 702
Comparacoes =  960; Trocas =  960; Tempo = 0.000058; Elementos = 948
Comparacoes =  802; Trocas =  802; Tempo = 0.000062; Elementos = 738
Comparacoes =  948; Trocas =  948; Tempo = 0.000055; Elementos = 933
Comparacoes =  775; Trocas =  775; Tempo = 0.000063; Elementos = 702
Comparacoes =  999; Trocas =  999; Tempo = 0.000061; Elementos = 1000
Comparacoes =  778; Trocas =  778; Tempo = 0.000065; Elementos = 706
Comparacoes =  955; Trocas =  955; Tempo = 0.000060; Elementos = 942
Comparacoes =  799; Trocas =  799; Tempo = 0.000057; Elementos = 734
Comparacoes =  956; Trocas =  956; Tempo = 0.000062; Elementos = 943
Comparacoes =  778; Trocas =  778; Tempo = 0.000058; Elementos = 706
Comparacoes =  991; Trocas =  991; Tempo = 0.000056; Elementos = 990
Comparacoes =  775; Trocas =  775; Tempo = 0.000062; Elementos = 702
Comparacoes =  960; Trocas =  960; Tempo = 0.000062; Elementos = 948
Comparacoes =  802; Trocas =  802; Tempo = 0.000078; Elementos = 738
Comparacoes =  948; Trocas =  948; Tempo = 0.000055; Elementos = 933
Comparacoes =  775; Trocas =  775; Tempo = 0.000060; Elementos = 702
Comparacoes =  999; Trocas =  999; Tempo = 0.000051; Elementos = 1000
Comparacoes =  778; Trocas =  778; Tempo = 0.000055; Elementos = 706
Comparacoes =  955; Trocas =  955; Tempo = 0.000058; Elementos = 942
Comparacoes =  799; Trocas =  799; Tempo = 0.000059; Elementos = 734
Comparacoes =  956; Trocas =  956; Tempo = 0.000055; Elementos = 943
Comparacoes =  778; Trocas =  778; Tempo = 0.000055; Elementos = 706
Comparacoes =  991; Trocas =  991; Tempo = 0.000054; Elementos = 990
Comparacoes =  775; Trocas =  775; Tempo = 0.000055; Elementos = 702
Comparacoes =  960; Trocas =  960; Tempo = 0.000075; Elementos = 948
Comparacoes =  802; Trocas =  802; Tempo = 0.000063; Elementos = 738
Comparacoes =  948; Trocas =  948; Tempo = 0.000059; Elementos = 933
Comparacoes =  775; Trocas =  775; Tempo = 0.000064; Elementos = 702
Comparacoes =  999; Trocas =  999; Tempo = 0.000063; Elementos = 1000
Comparacoes =  778; Trocas =  778; Tempo = 0.000064; Elementos = 706
Comparacoes =  955; Trocas =  955; Tempo = 0.000064; Elementos = 942
Comparacoes =  799; Trocas =  799; Tempo = 0.000064; Elementos = 734
Comparacoes =  956; Trocas =  956; Tempo = 0.000127; Elementos = 943
Comparacoes =  778; Trocas =  778; Tempo = 0.000062; Elementos = 706
Comparacoes =  991; Trocas =  991; Tempo = 0.000063; Elementos = 990
Comparacoes =  775; Trocas =  775; Tempo = 0.000056; Elementos = 702
Comparacoes =  960; Trocas =  960; Tempo = 0.000053; Elementos = 948
Comparacoes =  802; Trocas =  802; Tempo = 0.000057; Elementos = 738
Comparacoes =  948; Trocas =  948; Tempo = 0.000058; Elementos = 933
Comparacoes =  775; Trocas =  775; Tempo = 0.000057; Elementos = 702
Comparacoes =  999; Trocas =  999; Tempo = 0.000058; Elementos = 1000
Comparacoes =  778; Trocas =  778; Tempo = 0.000058; Elementos = 706
Comparacoes =  955; Trocas =  955; Tempo = 0.000058; Elementos = 942
Comparacoes =  799; Trocas =  799; Tempo = 0.000061; Elementos = 734
Comparacoes =  956; Trocas =  956; Tempo = 0.000081; Elementos = 943
Comparacoes =  778; Trocas =  778; Tempo = 0.000060; Elementos = 706
Comparacoes =  991; Trocas =  991; Tempo = 0.000058; Elementos = 990
