Comparacoes =   99; Trocas =   99; Tempo = 0.000006; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000005; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000005; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000005; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000005; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000005; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000005; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000006; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000005; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000005; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   90; Trocas =   90; Tempo = 0.000004; Elementos = 88
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
