Comparacoes = 9447; Trocas = 9447; Tempo = 0.000643; Elementos = 9265
Comparacoes = 7566; Trocas = 7566; Tempo = 0.000665; Elementos = 6756
Comparacoes = 9747; Trocas = 9747; Tempo = 0.000620; Elementos = 9664
Comparacoes = 7599; Trocas = 7599; Tempo = 0.000694; Elementos = 6800
Comparacoes = 9441; Trocas = 9441; Tempo = 0.000622; Elementos = 9256
Comparacoes = 7824; Trocas = 7824; Tempo = 0.002744; Elementos = 7101
Comparacoes = 9378; Trocas = 9378; Tempo = 0.000672; Elementos = 9172
Comparacoes = 7560; Trocas = 7560; Tempo = 0.000608; Elementos = 6748
Comparacoes = 9863; Trocas = 9863; Tempo = 0.000572; Elementos = 9819
Comparacoes = 7572; Trocas = 7572; Tempo = 0.001017; Elementos = 6764
Comparacoes = 9360; Trocas = 9360; Tempo = 0.000651; Elementos = 9148
Comparacoes = 7842; Trocas = 7842; Tempo = 0.000572; Elementos = 7125
Comparacoes = 9450; Trocas = 9450; Tempo = 0.000656; Elementos = 9268
Comparacoes = 7572; Trocas = 7572; Tempo = 0.000782; Elementos = 6764
Comparacoes = 9744; Trocas = 9744; Tempo = 0.000733; Elementos = 9661
Comparacoes = 7581; Trocas = 7581; Tempo = 0.000662; Elementos = 6776
Comparacoes = 9453; Trocas = 9453; Tempo = 0.000606; Elementos = 9272
Comparacoes = 7833; Trocas = 7833; Tempo = 0.000655; Elementos = 7113
Comparacoes = 9408; Trocas = 9408; Tempo = 0.000667; Elementos = 9213
Comparacoes = 7536; Trocas = 7536; Tempo = 0.000627; Elementos = 6716
Comparacoes = 9846; Trocas = 9846; Tempo = 0.000653; Elementos = 9796
Comparacoes = 7581; Trocas = 7581; Tempo = 0.000617; Elementos = 6776
Comparacoes = 9354; Trocas = 9354; Tempo = 0.000584; Elementos = 9140
Comparacoes = 7854; Trocas = 7854; Tempo = 0.000632; Elementos = 7141
Comparacoes = 9444; Trocas = 9444; Tempo = 0.000646; Elementos = 9260
Comparacoes = 7569; Trocas = 7569; Tempo = 0.000559; Elementos = 6760
Comparacoes = 9756; Trocas = 9756; Tempo = 0.002811; Elementos = 9677
Comparacoes = 7587; Trocas = 7587; Tempo = 0.000726; Elementos = 6784
Comparacoes = 9475; Trocas = 9475; Tempo = 0.000725; Elementos = 9302
Comparacoes = 7815; Trocas = 7815; Tempo = 0.000638; Elementos = 7089
Comparacoes = 9384; Trocas = 9384; Tempo = 0.000806; Elementos = 9180
Comparacoes = 7566; Trocas = 7566; Tempo = 0.000621; Elementos = 6756
Comparacoes = 9843; Trocas = 9843; Tempo = 0.000681; Elementos = 9793
Comparacoes = 7587; Trocas = 7587; Tempo = 0.000639; Elementos = 6784
Comparacoes = 9363; Trocas = 9363; Tempo = 0.000722; Elementos = 9152
Comparacoes = 7830; Trocas = 7830; Tempo = 0.000889; Elementos = 7109
Comparacoes = 9432; Trocas = 9432; Tempo = 0.000695; Elementos = 9244
Comparacoes = 7575; Trocas = 7575; Tempo = 0.000600; Elementos = 6768
Comparacoes = 9784; Trocas = 9784; Tempo = 0.000598; Elementos = 9714
Comparacoes = 7569; Trocas = 7569; Tempo = 0.000629; Elementos = 6760
Comparacoes = 9450; Trocas = 9450; Tempo = 0.000636; Elementos = 9268
Comparacoes = 7830; Trocas = 7830; Tempo = 0.000635; Elementos = 7109
Comparacoes = 9378; Trocas = 9378; Tempo = 0.000610; Elementos = 9172
Comparacoes = 7581; Trocas = 7581; Tempo = 0.000669; Elementos = 6776
Comparacoes = 9831; Trocas = 9831; Tempo = 0.000616; Elementos = 9777
Comparacoes = 7578; Trocas = 7578; Tempo = 0.000617; Elementos = 6772
Comparacoes = 9358; Trocas = 9358; Tempo = 0.000576; Elementos = 9146
Comparacoes = 7842; Trocas = 7842; Tempo = 0.000907; Elementos = 7125
Comparacoes = 9486; Trocas = 9486; Tempo = 0.001602; Elementos = 9316
Comparacoes = 7560; Trocas = 7560; Tempo = 0.000666; Elementos = 6748
Comparacoes = 9759; Trocas = 9759; Tempo = 0.000658; Elementos = 9680
