Comparacoes =  999; Trocas =   17; Tempo = 0.000049; Elementos = 18
Comparacoes =  999; Trocas =  798; Tempo = 0.000053; Elementos = 799
Comparacoes =  999; Trocas =   20; Tempo = 0.000054; Elementos = 21
Comparacoes =  999; Trocas =  613; Tempo = 0.000058; Elementos = 614
Comparacoes =  999; Trocas =   17; Tempo = 0.000055; Elementos = 18
Comparacoes =  999; Trocas =  972; Tempo = 0.000061; Elementos = 973
Comparacoes =  999; Trocas =   17; Tempo = 0.000051; Elementos = 18
Comparacoes =  999; Trocas =  807; Tempo = 0.000059; Elementos = 808
Comparacoes =  999; Trocas =   20; Tempo = 0.000055; Elementos = 21
Comparacoes =  999; Trocas =  907; Tempo = 0.000058; Elementos = 908
Comparacoes =  999; Trocas =   17; Tempo = 0.000074; Elementos = 18
Comparacoes =  999; Trocas =  984; Tempo = 0.000067; Elementos = 985
Comparacoes =  999; Trocas =   17; Tempo = 0.000057; Elementos = 18
Comparacoes =  999; Trocas =  169; Tempo = 0.000059; Elementos = 170
Comparacoes =  999; Trocas =   20; Tempo = 0.000058; Elementos = 21
Comparacoes =  999; Trocas =  612; Tempo = 0.000079; Elementos = 613
Comparacoes =  999; Trocas =   17; Tempo = 0.000058; Elementos = 18
Comparacoes =  999; Trocas =  973; Tempo = 0.000067; Elementos = 974
Comparacoes =  999; Trocas =   17; Tempo = 0.000058; Elementos = 18
Comparacoes =  999; Trocas =  813; Tempo = 0.000065; Elementos = 814
Comparacoes =  999; Trocas =   20; Tempo = 0.000059; Elementos = 21
Comparacoes =  999; Trocas =  601; Tempo = 0.000056; Elementos = 602
Comparacoes =  999; Trocas =   17; Tempo = 0.000068; Elementos = 18
Comparacoes =  999; Trocas =  803; Tempo = 0.000064; Elementos = 804
Comparacoes =  999; Trocas =   17; Tempo = 0.000072; Elementos = 18
Comparacoes =  999; Trocas =  798; Tempo = 0.000060; Elementos = 799
Comparacoes =  999; Trocas =   20; Tempo = 0.000054; Elementos = 21
Comparacoes =  999; Trocas =  913; Tempo = 0.000061; Elementos = 914
Comparacoes =  999; Trocas =   17; Tempo = 0.000056; Elementos = 18
Comparacoes =  999; Trocas =  980; Tempo = 0.000063; Elementos = 981
Comparacoes =  999; Trocas =   17; Tempo = 0.000056; Elementos = 18
Comparacoes =  999; Trocas =  806; Tempo = 0.000061; Elementos = 807
Comparacoes =  999; Trocas =   20; Tempo = 0.000054; Elementos = 21
Comparacoes =  999; Trocas =  601; Tempo = 0.000060; Elementos = 602
Comparacoes =  999; Trocas =   17; Tempo = 0.000056; Elementos = 18
Comparacoes =  999; Trocas =  984; Tempo = 0.000063; Elementos = 985
Comparacoes =  999; Trocas =   17; Tempo = 0.000053; Elementos = 18
Comparacoes =  999; Trocas =  799; Tempo = 0.000063; Elementos = 800
Comparacoes =  999; Trocas =   20; Tempo = 0.000052; Elementos = 21
Comparacoes =  999; Trocas =  919; Tempo = 0.000061; Elementos = 920
Comparacoes =  999; Trocas =   17; Tempo = 0.000057; Elementos = 18
Comparacoes =  999; Trocas =  972; Tempo = 0.000060; Elementos = 973
Comparacoes =  999; Trocas =   17; Tempo = 0.000069; Elementos = 18
Comparacoes =  999; Trocas =  171; Tempo = 0.000054; Elementos = 172
Comparacoes =  999; Trocas =   20; Tempo = 0.000050; Elementos = 21
Comparacoes =  999; Trocas =  600; Tempo = 0.000056; Elementos = 601
Comparacoes =  999; Trocas =   17; Tempo = 0.000055; Elementos = 18
Comparacoes =  999; Trocas =  985; Tempo = 0.000062; Elementos = 986
Comparacoes =  999; Trocas =   17; Tempo = 0.000056; Elementos = 18
Comparacoes =  999; Trocas =  805; Tempo = 0.000060; Elementos = 806
Comparacoes =  999; Trocas =   20; Tempo = 0.000053; Elementos = 21
