Comparacoes = 9999; Trocas = 9999; Tempo = 0.000666; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000530; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000539; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000544; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000531; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000543; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000529; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000470; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000528; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000522; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000503; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000739; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000488; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000382; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000416; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000366; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000378; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000288; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000295; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000291; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000311; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000288; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000306; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000382; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000348; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000351; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000348; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000351; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000350; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000348; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000350; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000347; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000348; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000472; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000289; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
