Comparacoes =  999; Trocas =  998; Tempo = 0.000056; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000059; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000053; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000052; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000054; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000052; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000061; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000059; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000056; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000050; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000074; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000051; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000053; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000055; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000053; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000052; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000052; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000052; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000052; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000052; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000057; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000087; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000050; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000059; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000061; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000061; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000061; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000061; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000062; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000075; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000060; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000062; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000050; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000051; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000055; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000055; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000054; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000055; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000054; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000056; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000056; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000057; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000056; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000055; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000055; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000056; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000057; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000057; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000078; Elementos = 999
Comparacoes =  999; Trocas =  998; Tempo = 0.000054; Elementos = 999
