Comparacoes =   99; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000030; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000053; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000007; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
