Comparacoes = 49999; Trocas = 49998; Tempo = 0.002774; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.002586; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.002715; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.002090; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001566; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001530; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001682; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001794; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001812; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.002242; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.002545; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001532; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.002397; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001830; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001818; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.002199; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001839; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.002332; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001822; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001891; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.002184; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001791; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001906; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001822; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001860; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001955; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001808; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001808; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001808; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001774; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001973; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001809; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001802; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001731; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001496; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001496; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001496; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001495; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001495; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001521; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001495; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001496; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001496; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001522; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001869; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001869; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001869; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001869; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001859; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001767; Elementos = 49999
Comparacoes = 49999; Trocas = 49998; Tempo = 0.001801; Elementos = 49999
