Comparacoes =  999; Trocas =  999; Tempo = 0.000120; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000065; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000045; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000045; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000046; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000050; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000053; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000051; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000047; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000042; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000048; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000057; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000071; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000047; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000049; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000053; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000058; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000047; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000048; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000047; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000051; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000050; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000060; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000063; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000067; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000043; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000048; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000070; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000051; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000052; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000046; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000052; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000050; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000043; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000051; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000055; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000051; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000050; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000050; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000051; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000068; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000054; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000053; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000055; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000058; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000058; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000057; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000057; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000057; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000058; Elementos = 1000
Comparacoes =  999; Trocas =  999; Tempo = 0.000071; Elementos = 1000
