Comparacoes = 49999; Trocas = 49999; Tempo = 0.001693; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001476; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001445; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001469; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001458; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001446; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001435; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001435; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001525; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001792; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001765; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001435; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001466; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001459; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001457; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001439; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001446; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001462; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001455; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001805; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001731; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001768; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001436; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001444; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001436; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001452; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001434; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001435; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001444; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001462; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.002042; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001438; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001446; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001445; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001437; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001444; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001437; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001445; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001437; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001443; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001726; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001799; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001438; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001452; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001437; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001444; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001436; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001444; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001444; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001437; Elementos = 50000
Comparacoes = 49999; Trocas = 49999; Tempo = 0.001568; Elementos = 50000
