Comparacoes = 99998; Trocas = 99998; Tempo = 0.008455; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.005667; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.005885; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003396; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003891; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003048; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003277; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.005266; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.007486; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.007152; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.006842; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.005325; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.005534; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.005852; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.005001; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003055; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003022; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003284; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003027; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003434; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003006; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003014; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003212; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003007; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003038; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003005; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003004; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003004; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003047; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003227; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003615; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003615; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003651; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003067; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003028; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003015; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.002995; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.002999; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003014; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003059; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003012; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003003; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.002997; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003004; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003041; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003002; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003001; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.002993; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003001; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.003981; Elementos = 99999
Comparacoes = 99998; Trocas = 99998; Tempo = 0.004523; Elementos = 99999
