Comparacoes =  998; Trocas =  998; Tempo = 0.000125; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000073; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000052; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000051; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000060; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000059; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000058; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000060; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000056; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000068; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000100; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000056; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000057; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000087; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000047; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000049; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000050; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000049; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000053; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000099; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000160; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000050; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000047; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000049; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000047; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000047; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000049; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000049; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000048; Elementos = 999
Comparacoes =  998; Trocas =  998; Tempo = 0.000047; Elementos = 999
