Comparacoes =   98; Trocas =   98; Tempo = 0.000007; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000007; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000008; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000007; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000008; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000006; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   98; Trocas =   98; Tempo = 0.000005; Elementos = 99
