Comparacoes = 2430; Trocas = 2332 Tempo = 0.000023
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000022
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000020
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000024
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000020
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000020
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000020
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000024
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000022
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000020
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000028
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000024
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000025
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000025
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000024
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000025
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000024
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000024
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000024
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000025
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000025
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000024
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000023
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000022
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000023
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000023
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000026
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000026
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000023
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000023
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000022
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000023
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000022
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000023
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000040
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000024
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000024
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000023
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000027
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000023
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000023
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000023
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000025
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000023
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000023
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000020
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000021
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000022
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000022
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000022
Comparacoes = 2538; Trocas = 2439 Tempo = 0.000022
