Comparacoes =   34; Trocas =   28; Tempo = 0.000002
Comparacoes =   14; Trocas =    5; Tempo = 0.000002
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000002
Comparacoes =   14; Trocas =    5; Tempo = 0.000003
Comparacoes =   14; Trocas =    5; Tempo = 0.000002
Comparacoes =   14; Trocas =    5; Tempo = 0.000003
Comparacoes =   14; Trocas =    5; Tempo = 0.000003
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000003
Comparacoes =   14; Trocas =    5; Tempo = 0.000002
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
Comparacoes =   14; Trocas =    5; Tempo = 0.000001
