Comparacoes =   23; Trocas =   34; Tempo = 0.000001
Comparacoes =   46; Trocas =   68; Tempo = 0.000001
Comparacoes =   69; Trocas =  102; Tempo = 0.000001
Comparacoes =   92; Trocas =  136; Tempo = 0.000001
Comparacoes =  115; Trocas =  170; Tempo = 0.000001
Comparacoes =  138; Trocas =  204; Tempo = 0.000001
Comparacoes =  161; Trocas =  238; Tempo = 0.000001
Comparacoes =  184; Trocas =  272; Tempo = 0.000001
Comparacoes =  207; Trocas =  306; Tempo = 0.000001
Comparacoes =  230; Trocas =  340; Tempo = 0.000001
Comparacoes =  253; Trocas =  374; Tempo = 0.000001
Comparacoes =  276; Trocas =  408; Tempo = 0.000001
Comparacoes =  299; Trocas =  442; Tempo = 0.000001
Comparacoes =  322; Trocas =  476; Tempo = 0.000001
Comparacoes =  345; Trocas =  510; Tempo = 0.000001
Comparacoes =  368; Trocas =  544; Tempo = 0.000001
Comparacoes =  391; Trocas =  578; Tempo = 0.000001
Comparacoes =  414; Trocas =  612; Tempo = 0.000001
Comparacoes =  437; Trocas =  646; Tempo = 0.000001
Comparacoes =  460; Trocas =  680; Tempo = 0.000001
Comparacoes =  483; Trocas =  714; Tempo = 0.000001
Comparacoes =  506; Trocas =  748; Tempo = 0.000001
Comparacoes =  529; Trocas =  782; Tempo = 0.000001
Comparacoes =  552; Trocas =  816; Tempo = 0.000001
Comparacoes =  575; Trocas =  850; Tempo = 0.000001
Comparacoes =  598; Trocas =  884; Tempo = 0.000001
Comparacoes =  621; Trocas =  918; Tempo = 0.000001
Comparacoes =  644; Trocas =  952; Tempo = 0.000001
Comparacoes =  667; Trocas =  986; Tempo = 0.000001
Comparacoes =  690; Trocas = 1020; Tempo = 0.000001
Comparacoes =  713; Trocas = 1054; Tempo = 0.000001
Comparacoes =  736; Trocas = 1088; Tempo = 0.000001
Comparacoes =  759; Trocas = 1122; Tempo = 0.000001
Comparacoes =  782; Trocas = 1156; Tempo = 0.000001
Comparacoes =  805; Trocas = 1190; Tempo = 0.000001
Comparacoes =  828; Trocas = 1224; Tempo = 0.000001
Comparacoes =  851; Trocas = 1258; Tempo = 0.000001
Comparacoes =  874; Trocas = 1292; Tempo = 0.000001
Comparacoes =  897; Trocas = 1326; Tempo = 0.000001
Comparacoes =  920; Trocas = 1360; Tempo = 0.000001
Comparacoes =  943; Trocas = 1394; Tempo = 0.000001
Comparacoes =  966; Trocas = 1428; Tempo = 0.000001
Comparacoes =  989; Trocas = 1462; Tempo = 0.000001
Comparacoes = 1012; Trocas = 1496; Tempo = 0.000001
Comparacoes = 1035; Trocas = 1530; Tempo = 0.000001
Comparacoes = 1058; Trocas = 1564; Tempo = 0.000001
Comparacoes = 1081; Trocas = 1598; Tempo = 0.000001
Comparacoes = 1104; Trocas = 1632; Tempo = 0.000001
Comparacoes = 1127; Trocas = 1666; Tempo = 0.000001
Comparacoes = 1150; Trocas = 1700; Tempo = 0.000001
Comparacoes = 1173; Trocas = 1734; Tempo = 0.000001
