Comparacoes =   53; Trocas =   17; Tempo = 0.000001
Comparacoes =  105; Trocas =   34; Tempo = 0.000001
Comparacoes =  161; Trocas =   55; Tempo = 0.000001
Comparacoes =  212; Trocas =   70; Tempo = 0.000001
Comparacoes =  261; Trocas =   87; Tempo = 0.000001
Comparacoes =  314; Trocas =  103; Tempo = 0.000000
Comparacoes =  367; Trocas =  121; Tempo = 0.000001
Comparacoes =  420; Trocas =  137; Tempo = 0.000000
Comparacoes =  473; Trocas =  155; Tempo = 0.000000
Comparacoes =  526; Trocas =  171; Tempo = 0.000000
Comparacoes =  579; Trocas =  189; Tempo = 0.000000
Comparacoes =  632; Trocas =  205; Tempo = 0.000000
Comparacoes =  685; Trocas =  223; Tempo = 0.000000
Comparacoes =  738; Trocas =  239; Tempo = 0.000000
Comparacoes =  791; Trocas =  257; Tempo = 0.000000
Comparacoes =  844; Trocas =  273; Tempo = 0.000000
Comparacoes =  897; Trocas =  291; Tempo = 0.000000
Comparacoes =  950; Trocas =  307; Tempo = 0.000000
Comparacoes = 1003; Trocas =  325; Tempo = 0.000000
Comparacoes = 1056; Trocas =  341; Tempo = 0.000000
Comparacoes = 1109; Trocas =  359; Tempo = 0.000000
Comparacoes = 1162; Trocas =  375; Tempo = 0.000000
Comparacoes = 1215; Trocas =  393; Tempo = 0.000000
Comparacoes = 1268; Trocas =  409; Tempo = 0.000000
Comparacoes = 1321; Trocas =  427; Tempo = 0.000000
Comparacoes = 1374; Trocas =  443; Tempo = 0.000000
Comparacoes = 1427; Trocas =  461; Tempo = 0.000000
Comparacoes = 1480; Trocas =  477; Tempo = 0.000000
Comparacoes = 1533; Trocas =  495; Tempo = 0.000000
Comparacoes = 1586; Trocas =  511; Tempo = 0.000000
Comparacoes = 1639; Trocas =  529; Tempo = 0.000000
Comparacoes = 1692; Trocas =  545; Tempo = 0.000000
Comparacoes = 1745; Trocas =  563; Tempo = 0.000000
Comparacoes = 1798; Trocas =  579; Tempo = 0.000000
Comparacoes = 1851; Trocas =  597; Tempo = 0.000000
Comparacoes = 1904; Trocas =  613; Tempo = 0.000000
Comparacoes = 1957; Trocas =  631; Tempo = 0.000000
Comparacoes = 2010; Trocas =  647; Tempo = 0.000000
Comparacoes = 2063; Trocas =  665; Tempo = 0.000000
Comparacoes = 2116; Trocas =  681; Tempo = 0.000000
Comparacoes = 2169; Trocas =  699; Tempo = 0.000000
Comparacoes = 2222; Trocas =  715; Tempo = 0.000000
Comparacoes = 2275; Trocas =  733; Tempo = 0.000000
Comparacoes = 2328; Trocas =  749; Tempo = 0.000000
Comparacoes = 2381; Trocas =  767; Tempo = 0.000000
Comparacoes = 2434; Trocas =  783; Tempo = 0.000000
Comparacoes = 2487; Trocas =  801; Tempo = 0.000000
Comparacoes = 2540; Trocas =  817; Tempo = 0.000000
Comparacoes = 2593; Trocas =  835; Tempo = 0.000000
Comparacoes = 2646; Trocas =  851; Tempo = 0.000000
Comparacoes = 2699; Trocas =  869; Tempo = 0.000000
