Comparacoes = 15398; Trocas = 7902 Tempo = 0.000280
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000271
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000268
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000255
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000264
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000298
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000250
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000254
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000298
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000280
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000277
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000255
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000278
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000220
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000194
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000193
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000194
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000193
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000193
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000192
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000194
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000192
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000192
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000197
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000194
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000194
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000192
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000195
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000198
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000196
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000196
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000193
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000195
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000243
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000258
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000369
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000258
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000258
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000268
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000249
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000251
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000257
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000286
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000260
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000244
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000255
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000256
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000255
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000256
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000280
Comparacoes = 14749; Trocas = 7217 Tempo = 0.000261
