Comparacoes =  847; Trocas =  394 Tempo = 0.000021
Comparacoes =  930; Trocas =  469 Tempo = 0.000018
Comparacoes =  930; Trocas =  469 Tempo = 0.000023
Comparacoes =  930; Trocas =  469 Tempo = 0.000012
Comparacoes =  930; Trocas =  469 Tempo = 0.000015
Comparacoes =  930; Trocas =  469 Tempo = 0.000010
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
Comparacoes =  930; Trocas =  469 Tempo = 0.000009
